n,chol_fun,t_min,t_median,t_mean,t_max
16,cholesky_blas,1.0,1.0,1.0,1.0
16,cholesky_blas_pivoted,0.19972519083969462,0.19972519083969462,0.19972519083969462,0.19972519083969462
16,chol_classic,0.11703816793893129,0.11703816793893129,0.11703816793893129,0.11703816793893129
16,chol_genz,0.19847328244274806,0.19847328244274806,0.19847328244274806,0.19847328244274806
16,chol_rowmax,0.0916030534351145,0.0916030534351145,0.0916030534351145,0.0916030534351145
32,cholesky_blas,1.0,1.0,1.0,1.0
32,cholesky_blas_pivoted,1.5312207012938308,1.5312207012938308,1.5312207012938308,1.5312207012938308
32,chol_classic,1.3594599662478906,1.3594599662478906,1.3594599662478906,1.3594599662478906
32,chol_genz,2.1953872117007314,2.1953872117007314,2.1953872117007314,2.1953872117007314
32,chol_rowmax,1.203262703918995,1.203262703918995,1.203262703918995,1.203262703918995
64,cholesky_blas,1.0,1.0,1.0,1.0
64,cholesky_blas_pivoted,0.9145882352941176,0.9145882352941176,0.9145882352941176,0.9145882352941176
64,chol_classic,0.8221512605042016,0.8221512605042016,0.8221512605042016,0.8221512605042016
64,chol_genz,1.3879327731092437,1.3879327731092437,1.3879327731092437,1.3879327731092437
64,chol_rowmax,0.6078319327731092,0.6078319327731092,0.6078319327731092,0.6078319327731092
128,cholesky_blas,1.0,1.0,1.0,1.0
128,cholesky_blas_pivoted,2.521007874015748,2.521007874015748,2.521007874015748,2.521007874015748
128,chol_classic,1.295275590551181,1.295275590551181,1.295275590551181,1.295275590551181
128,chol_genz,3.9908031496062994,3.9908031496062994,3.9908031496062994,3.9908031496062994
128,chol_rowmax,2.396314960629921,2.396314960629921,2.396314960629921,2.396314960629921
256,cholesky_blas,1.0,1.0,1.0,1.0
256,cholesky_blas_pivoted,4.431989492919142,4.431989492919142,4.431989492919142,4.431989492919142
256,chol_classic,0.9313287215297267,0.9313287215297267,0.9313287215297267,0.9313287215297267
256,chol_genz,5.37386608366508,5.37386608366508,5.37386608366508,5.37386608366508
256,chol_rowmax,3.8830516217450897,3.8830516217450897,3.8830516217450897,3.8830516217450897
512,cholesky_blas,1.0,1.0,1.0,1.0
512,cholesky_blas_pivoted,11.509072910313861,11.509072910313861,11.509072910313861,11.509072910313861
512,chol_classic,0.8615876635525033,0.8615876635525033,0.8615876635525033,0.8615876635525033
512,chol_genz,5.794739214594436,5.794739214594436,5.794739214594436,5.794739214594436
512,chol_rowmax,4.695675231352584,4.695675231352584,4.695675231352584,4.695675231352584
1024,cholesky_blas,1.0,1.0,1.0,1.0
1024,cholesky_blas_pivoted,4.692679244391356,4.692679244391356,4.692679244391356,4.692679244391356
1024,chol_classic,0.9030942029752455,0.9030942029752455,0.9030942029752455,0.9030942029752455
1024,chol_genz,4.924067716010989,4.924067716010989,4.924067716010989,4.924067716010989
1024,chol_rowmax,4.1585021232940615,4.1585021232940615,4.1585021232940615,4.1585021232940615
2048,cholesky_blas,1.0,1.0,1.0,1.0
2048,cholesky_blas_pivoted,3.4464436803162513,3.4464436803162513,3.4464436803162513,3.4464436803162513
2048,chol_classic,0.9728196160699414,0.9728196160699414,0.9728196160699414,0.9728196160699414
2048,chol_genz,3.2218404665265887,3.2218404665265887,3.2218404665265887,3.2218404665265887
2048,chol_rowmax,2.805710060094063,2.805710060094063,2.805710060094063,2.805710060094063
4096,cholesky_blas,1.0,1.0,1.0,1.0
4096,cholesky_blas_pivoted,1.6264926929538677,1.6264926929538677,1.6264926929538677,1.6264926929538677
4096,chol_classic,0.6366016140177294,0.6366016140177294,0.6366016140177294,0.6366016140177294
4096,chol_genz,1.1266563786011226,1.1266563786011226,1.1266563786011226,1.1266563786011226
4096,chol_rowmax,1.0490537867204741,1.0490537867204741,1.0490537867204741,1.0490537867204741
