simulation_function,n,rep,qmc_data_value,qmc_data_distributions_value,absolute_difference,qmc_data_time,qmc_data_distributions_time
rand_spd,64,1,0.26689388845370093,0.2668938884537006,3.3306690738754696e-16,0.00238175,0.118046583
rand_spd,256,1,0.2584986105026552,0.2584986105026544,8.326672684688674e-16,0.009144958,0.02487675
rand_spd,1024,1,0.2535054891196403,0.25350548911963205,8.271161533457416e-15,0.050398875,0.109403042
rand_spd,4096,1,0.25138794497073363,0.2513879449706968,3.68594044175552e-14,0.352892333,0.582967208
mattern_cov1,64,1,0.25000000000000355,0.25000000000000355,0.0,0.00208925,0.005950042
mattern_cov1,256,1,0.2500053556076998,0.2500053556076997,1.1102230246251565e-16,0.021185375,0.027009125
mattern_cov1,1024,1,0.2662253176998027,0.2662253176998011,1.5543122344752192e-15,0.048233834,0.109965208
mattern_cov1,4096,1,0.4869116107902702,0.4869116107902587,1.149080830487037e-14,0.338396708,0.497658708
