n,chol_fun,t_min,t_median,t_mean,t_max
16,cholesky_blas,1.0,1.3885542168674698,2.0872108433734944,159.06626506024097
16,cholesky_blas_pivoted,1.8588640275387263,2.4866609294320137,2.9647228915662653,74.5593803786575
16,chol_classic,2.333907056798623,2.4539586919104988,2.8237728055077453,200.33734939759034
16,chol_genz,4.217728055077453,4.590361445783133,4.9145266781411365,213.5223752151463
16,chol_rowmax,2.0154905335628226,2.190189328743546,2.262487951807229,10.46299483648881
32,cholesky_blas,1.0,1.2210765934654524,1.5146395286555971,14.56936261381896
32,cholesky_blas_pivoted,1.6341724692019282,1.9309051955008032,2.1869769683985,5.946438136047134
32,chol_classic,2.5133904659882167,2.572844134975897,2.627084627745045,6.383770755222281
32,chol_genz,3.4129619710765935,3.577664702731655,3.639226031065881,6.867434386716658
32,chol_rowmax,1.6331012319228708,1.7447777182645956,1.7731537225495446,4.333690412426352
64,cholesky_blas,1.0,1.1666037165735004,1.1962370448708264,2.18212720954827
64,cholesky_blas_pivoted,1.6561414110892885,1.8482776854509746,2.0175762955129177,120.61814473485423
64,chol_classic,2.7086417887898473,2.9390013597220124,2.9719996978395526,4.803822329657048
64,chol_genz,2.961096842423327,3.257289620788639,3.5022055446442057,211.91063604774138
64,chol_rowmax,1.6133857078108478,1.7527194440247773,1.782991539507479,3.1187490557486024
128,cholesky_blas,1.0,1.199511002444988,1.5702789305836078,37.84323376209206
128,cholesky_blas_pivoted,1.5983841819921334,1.8447698522376954,2.0962057616668446,34.92869140002126
128,chol_classic,1.8142659721484002,2.1652386520676092,2.2126842245136604,4.01425534176677
128,chol_genz,2.934633783352823,3.212761773147656,3.2850364090570854,4.267513553736579
128,chol_rowmax,2.21122568300202,2.5079781014138405,2.526412395024981,4.558009992558733
256,cholesky_blas,1.0,1.4228560835444601,1.9598946227522713,104.51651238954459
256,cholesky_blas_pivoted,32.476186121238335,74.89430142742384,77.96936225421737,243.22633133535192
256,chol_classic,1.890057467713032,2.0070580238521907,2.016096708892047,3.539108941481802
256,chol_genz,5.442471729592782,8.430906506828153,8.448036450596303,17.344568992152258
256,chol_rowmax,4.908874745102886,5.91454118519434,6.050824615955014,7.828459494531298
512,cholesky_blas,1.0,1.1878689991166556,1.8761928969641797,51.24537934235907
512,cholesky_blas_pivoted,12.351166600566062,29.41228693821997,32.48319584670368,171.2475989706333
512,chol_classic,2.2143225739575634,2.365055051288061,2.5597874396080833,19.920342386111663
512,chol_genz,15.454411990048856,18.1937684781237,18.288134475671978,23.731822709163346
512,chol_rowmax,12.447555930125652,15.112592052604064,15.167674060545153,23.08638184817292
1024,cholesky_blas,1.0,1.1377821275829727,1.881894023249568,20.951370619520887
1024,cholesky_blas_pivoted,8.226723023161954,13.154961012138015,13.493072364172054,28.3245756865306
1024,chol_classic,1.1278455729255188,1.2501368058152167,1.3666024274594046,15.067006363205916
1024,chol_genz,11.404602899277887,15.129126257284941,14.965414914921865,22.240704984423527
1024,chol_rowmax,11.131590916381127,14.0700011298748,14.064614339978368,24.638152568526188
2048,cholesky_blas,1.0,1.0541190769870923,1.0640442206002911,1.172685343473954
2048,cholesky_blas_pivoted,7.83459611598562,8.292376712509224,8.482264680011108,10.122988983673718
2048,chol_classic,0.46871941150159335,0.8217078440107337,0.9075375176516514,5.178425116872631
2048,chol_genz,6.132503568184964,7.010271148745086,6.984169463695667,8.690183758875794
2048,chol_rowmax,5.857268089176006,6.79649432073357,6.782142472378931,8.656606933953222
4096,cholesky_blas,1.0,1.1014905582794898,1.106314428857019,1.3064674463371349
4096,cholesky_blas_pivoted,6.522140242113555,6.698603696360767,6.730124845961955,8.221839895511028
4096,chol_classic,0.2076650632288038,0.21556881400981132,0.22223852428915467,0.7718671925187557
4096,chol_genz,3.384134157401731,3.7014522661318496,3.743322531750706,4.517365835534785
4096,chol_rowmax,3.403671348821283,3.6986782469469324,3.743973982173197,4.241837512778175
