method,median,min,max,Q1,Q3,n,n_pts,matrix
pnorm32,0.301221958,0.282801833,0.348320208,0.29361334399999994,0.31245977075,1024,245760,fixed_dense
pnorm_sparse32,0.7807478539999999,0.73207425,0.964720917,0.7632575207500001,0.8078220735,1024,245760,fixed_dense
pnorm32,0.15653518700000002,0.12688125,0.182331791,0.14461491675,0.16211627075,2048,24576,fixed_dense
pnorm_sparse32,0.297411521,0.270389125,0.370123708,0.28589561500000005,0.31617629199999997,2048,24576,fixed_dense
pnorm32,0.7745597289999999,0.743145042,0.808963667,0.7663290105,0.78153584375,2048,245760,fixed_dense
pnorm_sparse32,2.6822229999999996,2.646557792,2.812215208,2.674467823,2.69413986425,2048,245760,fixed_dense
pnorm32,0.422600875,0.3831015,0.455646375,0.40950474,0.43028017725,4096,24576,fixed_dense
pnorm_sparse32,1.0765074380000001,1.037779625,1.15448,1.067502927,1.08792961475,4096,24576,fixed_dense
pnorm32,1.9553741040000001,1.924413583,2.008830041,1.9468598855,1.9705572807499998,4096,245760,fixed_dense
pnorm_sparse32,9.776360417,9.516477459,9.971738584,9.707524198,9.82522808375,4096,245760,fixed_dense
