n,chol_fun,t_min,t_median,t_mean,t_max
16,cholesky_blas,1.0,1.0,1.0,1.0
16,cholesky_blas_pivoted,1.478716060745513,1.478716060745513,1.478716060745513,1.478716060745513
16,chol_classic,1.8803497468936954,1.8803497468936954,1.8803497468936954,1.8803497468936954
16,chol_genz,1.33927749654855,1.33927749654855,1.33927749654855,1.33927749654855
16,chol_rowmax,0.7708237459733087,0.7708237459733087,0.7708237459733087,0.7708237459733087
32,cholesky_blas,1.0,1.0,1.0,1.0
32,cholesky_blas_pivoted,1.6559189313680331,1.6559189313680331,1.6559189313680331,1.6559189313680331
32,chol_classic,1.078650391524643,1.078650391524643,1.078650391524643,1.078650391524643
32,chol_genz,1.7740672501151544,1.7740672501151544,1.7740672501151544,1.7740672501151544
32,chol_rowmax,0.9109857208659603,0.9109857208659603,0.9109857208659603,0.9109857208659603
64,cholesky_blas,1.0,1.0,1.0,1.0
64,cholesky_blas_pivoted,1.1293152414010728,1.1293152414010728,1.1293152414010728,1.1293152414010728
64,chol_classic,8.959103818239193,8.959103818239193,8.959103818239193,8.959103818239193
64,chol_genz,1.4569895866203848,1.4569895866203848,1.4569895866203848,1.4569895866203848
64,chol_rowmax,0.7862732723256547,0.7862732723256547,0.7862732723256547,0.7862732723256547
128,cholesky_blas,1.0,1.0,1.0,1.0
128,cholesky_blas_pivoted,1.1573495206217734,1.1573495206217734,1.1573495206217734,1.1573495206217734
128,chol_classic,0.811176036761786,0.811176036761786,0.811176036761786,0.811176036761786
128,chol_genz,1.711164690531571,1.711164690531571,1.711164690531571,1.711164690531571
128,chol_rowmax,1.3773699438361606,1.3773699438361606,1.3773699438361606,1.3773699438361606
256,cholesky_blas,1.0,1.0,1.0,1.0
256,cholesky_blas_pivoted,2.388401195140541,2.388401195140541,2.388401195140541,2.388401195140541
256,chol_classic,0.9681855925661673,0.9681855925661673,0.9681855925661673,0.9681855925661673
256,chol_genz,3.417488305496234,3.417488305496234,3.417488305496234,3.417488305496234
256,chol_rowmax,2.9702408057214793,2.9702408057214793,2.9702408057214793,2.9702408057214793
512,cholesky_blas,1.0,1.0,1.0,1.0
512,cholesky_blas_pivoted,3.1544880455048503,3.1544880455048503,3.1544880455048503,3.1544880455048503
512,chol_classic,0.8200444679302471,0.8200444679302471,0.8200444679302471,0.8200444679302471
512,chol_genz,4.415806928422585,4.415806928422585,4.415806928422585,4.415806928422585
512,chol_rowmax,3.7785171789784338,3.7785171789784338,3.7785171789784338,3.7785171789784338
1024,cholesky_blas,1.0,1.0,1.0,1.0
1024,cholesky_blas_pivoted,5.3450356604233775,5.3450356604233775,5.3450356604233775,5.3450356604233775
1024,chol_classic,0.6700261628605483,0.6700261628605483,0.6700261628605483,0.6700261628605483
1024,chol_genz,3.9251298366701883,3.9251298366701883,3.9251298366701883,3.9251298366701883
1024,chol_rowmax,3.543922085905083,3.543922085905083,3.543922085905083,3.543922085905083
2048,cholesky_blas,1.0,1.0,1.0,1.0
2048,cholesky_blas_pivoted,5.183266107053618,5.183266107053618,5.183266107053618,5.183266107053618
2048,chol_classic,0.34506833728080005,0.34506833728080005,0.34506833728080005,0.34506833728080005
2048,chol_genz,3.7954418104631866,3.7954418104631866,3.7954418104631866,3.7954418104631866
2048,chol_rowmax,3.775298306416569,3.775298306416569,3.775298306416569,3.775298306416569
4096,cholesky_blas,1.0,1.0,1.0,1.0
4096,cholesky_blas_pivoted,6.427677470472942,6.427677470472942,6.427677470472942,6.427677470472942
4096,chol_classic,0.23146189118936172,0.23146189118936172,0.23146189118936172,0.23146189118936172
4096,chol_genz,4.601849745370614,4.601849745370614,4.601849745370614,4.601849745370614
4096,chol_rowmax,4.754715920372103,4.754715920372103,4.754715920372103,4.754715920372103
