n,m,val_s,val_r,sd_s,sd_r,t_s,t_r
16.0,1024.0,0.27513718283544764,0.2751377642156117,3.055274740666444e-5,5.615563025443687e-5,0.1773471595,0.17708104800000002
16.0,2048.0,0.27475928457664356,0.2747604669516232,1.2361192481890148e-5,2.4986463236540155e-5,0.1767752355,0.176534203
16.0,4096.0,0.27366715930897195,0.2736676064214462,6.654203960168244e-6,1.4114288683515322e-5,0.1765787855,0.1764202205
16.0,8192.0,0.27108157625641727,0.2710814977913162,3.961512134204473e-6,5.876603664698991e-6,0.1797936935,0.1795642525
16.0,16384.0,0.27134334579216296,0.27134324165856266,2.03931001724599e-6,2.537411972047741e-6,0.177682444,0.177189818
16.0,32768.0,0.2709923953354272,0.27099255745247086,1.1637269294520972e-6,2.936368020797291e-6,0.17850292950000002,0.1769929195
64.0,1024.0,0.26595826182388643,0.2659651340084863,0.00017033332419052913,0.00010784165045427334,0.1774869995,0.177144902
64.0,2048.0,0.2661978095458276,0.266196001517663,5.957280504096673e-5,4.3191022726368585e-5,0.177658313,0.177273809
64.0,4096.0,0.26616442175910715,0.26616646159297946,2.8787008586366292e-5,2.556886649318521e-5,0.1813625875,0.180831888
64.0,8192.0,0.26765380520500426,0.2676519599030939,1.8140798991735816e-5,1.8895705192644426e-5,0.179246591,0.176975091
64.0,16384.0,0.26672598537894165,0.2667266387882057,1.067131779787714e-5,9.284985337082713e-6,0.18010093900000002,0.178174116
64.0,32768.0,0.2659395547090668,0.26593940313017456,6.527582923420245e-6,6.553498886895217e-6,0.18488678800000002,0.18150121149999998
256.0,1024.0,0.2584179028961183,0.25841087077055014,0.00017759214749318757,0.0001358407416843108,0.2683514635,0.1814571605
256.0,2048.0,0.2584493174682692,0.2584449114892651,0.00012826744711247164,6.980791830948403e-5,0.280351195,0.1814056415
256.0,4096.0,0.2583735753926704,0.25836735826113294,5.575347241877251e-5,6.939826088172254e-5,0.3054575225,0.181110684
256.0,8192.0,0.25831268003603153,0.258314054466259,3.2468400523283066e-5,2.3406488248989235e-5,0.3168075695,0.1806179865
256.0,16384.0,0.25842937609998456,0.2584308800965987,1.7578192853731953e-5,1.8367044217589543e-5,0.33436307200000004,0.181815293
256.0,32768.0,0.25837344305767257,0.2583735124668286,1.1066579057803616e-5,9.396996620728562e-6,0.306506466,0.13194733250000001
1024.0,1024.0,0.25360699895787386,0.25360618407109625,0.000145248988540706,0.00010654628642135887,0.32882894500000004,0.1798453905
1024.0,2048.0,0.2535991101094859,0.25359812694526734,9.972400914588576e-5,6.707962725115239e-5,0.3302566475,0.1737492585
1024.0,4096.0,0.2536034956522449,0.2536030480629656,7.015810467892316e-5,4.8140529799362004e-5,0.2982024575,0.10999510600000001
1024.0,8192.0,0.25361695448794,0.2536194541270313,3.9904520467134556e-5,3.1200676299786985e-5,0.3408577385,0.15898179499999998
1024.0,16384.0,0.25361153850998724,0.25361163367970463,2.4171623186022913e-5,1.964244992578882e-5,0.43827955949999997,0.277813665
1024.0,32768.0,0.25361220649412014,0.25361207955668663,1.3394707283672504e-5,1.274355807540977e-5,0.651452905,0.49888716099999997
