func,impl,max_max_error,mean_max_error,mean_rmse,ratio_mean,Precision
CDF,erf,2.0,1.184838137512207,0.41860257466389195,2.8100178770435047,Float64
CDF,erfc,0.5,0.462512724609375,0.13021339420609185,1.0237694989874906,Float64
Quantile,erfinv,0.0,0.0,0.0,1.4706861676590786,Float64
CDF,erf,0.03473850339651108,0.03460519388318062,0.02197936736047268,2.8437674045562744,Float32
CDF,erfc,0.034738507121801376,0.03460519760847092,0.02197936736047268,1.0288273096084595,Float32
Quantile,erfinv,1.0,9.999999747378752e-6,1.7677668893156806e-6,1.363633155822754,Float32
