func,impl,max_max_error,mean_max_error,mean_rmse,ratio_mean,Precision
CDF,erf,2.0,1.1845604232788085,0.4188811633267469,3.7037577006381204,Float64
CDF,erfc,0.5,0.46268564453125,0.13038965688865425,1.0540329192401263,Float64
Quantile,erfinv,0.0,0.0,0.0,1.4674057815641528,Float64
CDF,erf,0.03473850339651108,0.034603144973516464,0.02196376398205757,3.7007784843444824,Float32
CDF,erfc,0.034738507121801376,0.034603144973516464,0.02196376398205757,1.0436291694641113,Float32
Quantile,erfinv,0.0,0.0,0.0,1.2983224391937256,Float32
