b,val_snp,err_snp,val_aw,err_aw
1.0,8.578489544218586e-8,1.704946085342313e-8,2.915995605271655e-179,0.0
1.025,0.028135601081980585,4.694858592190643e-5,4.601340813332204e-13,4.408340120347587e-13
1.05,0.24929582200189726,0.00016500887557675586,2.0926321804613768e-5,5.916264893059017e-7
1.075,0.4887452748813434,0.00015443433845750319,0.0036603352558044525,1.4310199245385587e-5
1.1,0.6549059906891966,0.0002146562027132065,0.03578941689467856,4.56131046027652e-5
1.125,0.7601233650250808,0.00011673014485351506,0.11598423280500281,7.916434189154757e-5
1.15,0.8332526797741789,9.168534084300073e-5,0.22013229347053154,7.72360711680762e-5
1.175,0.8786801458053176,0.0001028869193399858,0.3188673659541765,7.21358325716192e-5
1.2,0.9085108134124343,8.183120191472082e-5,0.4095535491019293,0.00012497277190134186
1.225,0.9268135056342449,8.59083008037007e-5,0.4834769591916214,0.00012471380468733725
1.25,0.9394726693074009,5.74506334719368e-5,0.5323757364617335,0.0001036305010454143
1.275,0.9490801475431055,6.210467555693553e-5,0.5916329839096043,8.716371110394745e-5
1.3,0.9543564240321117,6.0646113960117766e-5,0.6286230941238212,0.0001455201511042875
