Ticker,Holding name,% of market value,Sector,Region,Market value,Shares,yticker
GOTO,GoTo Gojek Tokopedia Tbk PT,0.0039%,Technology,ID,"US$2,050,598.04","533,636,100",300966.SZ
8960,United Urban Investment Corp,0.0039%,Real Estate,JP,"US$2,045,402.11","1,730",8960.T
028300,HLB Inc,0.0039%,Health Care,KR,"US$2,046,678.82","64,178",028300.KQ
2181,Persol Holdings Co Ltd,0.0039%,Industrials,JP,"US$2,045,952.84","1,136,600",218150.KQ
2353,Acer Inc,0.0039%,Technology,TW,"US$2,041,906.71","2,351,752",2353.T
6881,China Galaxy Securities Co Ltd,0.0039%,Financials,HK,"US$2,031,920.47","1,554,000",688173.SS
6448,Brother Industries Ltd,0.0039%,Technology,JP,"US$2,032,601.73","101,500",6448.T
2268,WuXi XDC Cayman Inc,0.0039%,Health Care,HK,"US$2,030,180.72","241,500",2268.T
5929,Sanwa Holdings Corp,0.0039%,Industrials,JP,"US$2,024,751.68","78,500",5929.T
HTO,Hellenic Telecommunications Organization SA,0.0039%,Telecommunications,GR,"US$2,022,793.91","101,868",HTO
SDR,Schroders PLC,0.0039%,Financials,GB,"US$2,024,842.56","393,456",SDRL
CMIG4,Cia Energetica de Minas Gerais,0.0039%,Utilities,BR,"US$2,016,946.59","937,126",CMIG4.SA
601601,China Pacific Insurance Group Co Ltd,0.0039%,Financials,CN,"US$2,018,453.94","410,600",601601.SS
6030,CITIC Securities Co Ltd,0.0039%,Financials,HK,"US$2,014,666.80","586,589",603059.SS
MALLPLAZ,Plaza SA,0.0039%,Real Estate,CL,"US$2,011,164.29","583,797",MALLPLAZA.SN
RAIL3,Rumo SA,0.0039%,Industrials,BR,"US$2,014,992.83","638,962",RAIL3F.SA
JOMAR,Jabal Omar Development Co,0.0039%,Real Estate,SA,"US$2,012,737.42","497,410",4250.SR
SWB,Sunway Bhd,0.0039%,Real Estate,MY,"US$2,006,444.04","1,521,400",SWBI
3092,ZOZO Inc,0.0039%,Consumer Discretionary,JP,"US$2,003,689.84","232,300",3092.TW
1044,Hengan International Group Co Ltd,0.0039%,Consumer Staples,HK,"US$2,002,071.77","555,500",1044.HK
SOIL,Solar Industries India Ltd,0.0038%,Basic Materials,IN,"US$1,995,677.91","13,450",STECH.OL
144,China Merchants Port Holdings Co Ltd,0.0038%,Industrials,HK,"US$1,996,588.57","992,000",1442.HK
9506,Tohoku Electric Power Co Inc,0.0038%,Utilities,JP,"US$1,998,245.43","270,800",9506.T
VESTA*,Corp Inmobiliaria Vesta SAB de CV,0.0038%,Real Estate,MX,"US$1,992,047.48","639,700",VWS.CO
000720,Hyundai Engineering & Construction Co Ltd,0.0038%,Industrials,KR,"US$1,994,123.01","43,771",000720.SZ
VOD,Vodacom Group Ltd,0.0038%,Telecommunications,ZA,"US$1,990,078.79","254,025",VOD
TIMS3,TIM SA/Brazil,0.0038%,Telecommunications,BR,"US$1,990,579.99","419,900",TIMS3.SA
2607,Shanghai Pharmaceuticals Holding Co Ltd,0.0038%,Health Care,HK,"US$1,994,575.76","1,314,900",2607.HK
1878,Daito Trust Construction Co Ltd,0.0038%,Real Estate,JP,"US$1,990,028.84","104,000",187870.KQ
MAP,Mapfre SA,0.0038%,Financials,ES,"US$1,980,530.72","427,920",N2IU.SI
079550,LIG Nex1 Co Ltd,0.0038%,Industrials,KR,"US$1,976,396.15","7,589",079550.KS
2267,Yakult Honsha Co Ltd,0.0038%,Consumer Staples,JP,"US$1,979,131.00","126,368",2267.T
DIE,D'ieteren Group,0.0038%,Consumer Discretionary,BE,"US$1,977,925.33","11,362",DBD
RHBBANK,RHB Bank Bhd,0.0038%,Financials,MY,"US$1,967,626.15","1,169,959",1066.KL
WDP,Warehouses De Pauw CVA,0.0038%,Real Estate,BE,"US$1,966,164.32","75,700",WDP0.DU
BOCHGR,Bank of Cyprus Holdings PLC,0.0038%,Financials,GR,"US$1,953,651.27","210,423",BOCHGR.AT
