Holdings details

Total World Stock ETF (VT)


Equity,as of 11/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BP6MXD8,Shell PLC,SHEL,0.21%,Integrated Oil & Gas,GB,---,"$156,136,026.44","4,248,494"
,2310525,Salesforce Inc,CRM,0.21%,Application Software,US,---,"$155,669,368.52","675,238"
,6900643,Toyota Motor Corp,7203,0.21%,Automobile Manufacturers,JP,---,"$155,017,229.62","7,684,840"
,2871301,Intuitive Surgical Inc,ISRG,0.20%,Health Care Equipment,US,---,"$147,856,907.52","257,824"
,2681511,PepsiCo Inc,PEP,0.19%,Soft Drinks & Non-alcoholic Beverages,US,---,"$147,092,853.24","988,926"
,2046552,Applied Materials Inc,AMAT,0.19%,Semiconductor Materials & Equipment,US,---,"$145,982,876.75","578,723"
,2026082,American Express Co,AXP,0.19%,Consumer Finance,US,---,"$144,728,740.48","396,224"
,BSML4N7,Lam Research Corp,LRCX,0.19%,Semiconductor Materials & Equipment,US,---,"$144,027,468.00","923,253"
,2262314,Morgan Stanley,MS,0.19%,Investment Banking & Brokerage,US,---,"$140,820,175.24","830,014"
,6450267,SK hynix Inc,000660,0.19%,Semiconductors,KR,---,"$140,713,837.01","388,477"
,5727973,Siemens AG,SIE,0.19%,Industrial Conglomerates,DE,---,"$140,645,648.97","530,331"
,BNZHB81,Linde PLC,LIN,0.18%,Industrial Gases,US,---,"$138,747,656.40","338,145"
,BX865C7,Shopify Inc,SHOP,0.18%,Internet Services & Infrastructure,CA,---,"$138,436,454.96","872,179"
,2297907,Citigroup Inc,C,0.18%,Diversified Banks,US,---,"$136,593,595.60","1,318,471"
,2270726,Walt Disney Co/The,DIS,0.18%,Movies & Entertainment,US,---,"$136,493,189.10","1,306,530"
,4061412,LVMH Moet Hennessy Louis Vuitton SE,MC,0.18%,"Apparel, Accessories & Luxury Goods",FR,---,"$136,258,889.60","184,352"
,2023607,Amgen Inc,AMGN,0.18%,Biotechnology,US,---,"$134,045,734.66","388,021"
,2831811,AT&T Inc,T,0.17%,Integrated Telecommunication Services,US,---,"$131,740,092.64","5,063,032"
,2714923,QUALCOMM Inc,QCOM,0.17%,Semiconductors,US,---,"$131,211,390.18","780,602"
,2328915,NextEra Energy Inc,NEE,0.17%,Electric Utilities,US,---,"$128,437,487.60","1,488,440"
,2463247,Intel Corp,INTC,0.17%,Semiconductors,US,---,"$128,222,125.20","3,161,295"
,6821506,Sony Group Corp,6758,0.17%,Consumer Electronics,JP,---,"$127,665,136.10","4,350,700"
,BK6N347,Uber Technologies Inc,UBER,0.17%,Passenger Ground Transportation,US,---,"$127,453,162.68","1,455,942"
,6335171,Mitsubishi UFJ Financial Group Inc,8306,0.17%,Diversified Banks,JP,---,"$126,054,934.77","8,039,460"
,2090571,Verizon Communications Inc,VZ,0.17%,Integrated Telecommunication Services,US,---,"$125,238,449.53","3,046,423"
,2459020,Intuit Inc,INTU,0.17%,Application Software,US,---,"$125,095,106.88","197,286"
,2145084,Amphenol Corp,APH,0.16%,Electronic Components,US,---,"$122,535,939.40","869,666"
,2989301,TJX Cos Inc/The,TJX,0.16%,Apparel Retail,US,---,"$122,238,326.16","804,623"
,B80NXX8,ServiceNow Inc,NOW,0.16%,Systems Software,US,---,"$121,218,071.28","149,208"
,6215035,Commonwealth Bank of Australia,CBA,0.16%,Diversified Banks,AU,---,"$120,851,446.79","1,209,223"
,5231485,Allianz SE,ALV,0.16%,Multi-line Insurance,DE,---,"$120,166,471.67","278,385"
,BP6H4Y1,GE Vernova Inc,GEV,0.16%,Heavy Electrical Equipment,US,---,"$118,569,730.84","197,692"
,BDRXDB4,Booking Holdings Inc,BKNG,0.15%,"Hotels, Resorts & Cruise Lines",US,---,"$115,377,262.44","23,476"
,BMZBBT7,Blackrock Inc,BLK,0.15%,Asset Management & Custody Banks,US,---,"$115,176,817.50","109,975"
,5705946,Banco Santander SA,SAN,0.15%,Diversified Banks,ES,---,"$114,902,447.09","10,711,623"
,2779397,Charles Schwab Corp/The,SCHW,0.15%,Investment Banking & Brokerage,US,---,"$114,198,942.33","1,231,521"
,BP6KMJ1,Novo Nordisk A/S,NOVOB,0.15%,Pharmaceuticals,DK,---,"$114,087,677.26","2,303,737"
,2369174,Gilead Sciences Inc,GILD,0.15%,Biotechnology,US,---,"$113,224,540.00","899,750"
,2480138,KLA Corp,KLAC,0.15%,Semiconductor Materials & Equipment,US,---,"$113,131,934.68","96,244"
,B4BNMY3,Accenture PLC,ACN,0.15%,IT Consulting & Other Services,US,---,"$112,817,000.00","451,268"
,2885409,Texas Instruments Inc,TXN,0.15%,Semiconductors,US,---,"$110,487,764.70","656,610"
,BYV2325,S&P Global Inc,SPGI,0.15%,Financial Exchanges & Data,US,---,"$110,196,535.30","220,910"
,2113434,Boston Scientific Corp,BSX,0.14%,Health Care Equipment,US,---,"$107,954,449.74","1,062,753"
,4834108,Schneider Electric SE,SU,0.14%,Electrical Components & Equipment,FR,---,"$105,506,574.28","392,064"
,2684703,Pfizer Inc,PFE,0.14%,Pharmaceuticals,US,---,"$105,462,803.16","4,097,234"
,B10RZP7,Unilever PLC,ULVR,0.14%,Personal Care Products,GB,---,"$104,585,826.80","1,738,235"
,2250870,Danaher Corp,DHR,0.14%,Life Sciences Tools & Services,US,---,"$104,199,967.28","459,476"
,2897222,Toronto-Dominion Bank/The,TD,0.14%,Diversified Banks,CA,---,"$103,823,127.64","1,236,156"
,BMV3LG4,AppLovin Corp,APP,0.14%,Application Software,US,---,"$103,216,667.96","172,177"
,6429104,Hitachi Ltd,6501,0.13%,Industrial Conglomerates,JP,---,"$101,472,590.99","3,186,360"
,B288C92,Iberdrola SA,IBE,0.13%,Electric Utilities,ES,---,"$101,383,618.34","4,803,121"
