Holdings details

Total World Stock ETF (VT)


Equity,as of 11/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2442053,Lennox International Inc,LII,0.02%,Building Products,US,---,"$11,772,334.26","23,598"
,BLDDH12,DraftKings Inc,DKNG,0.02%,Casinos & Gaming,US,---,"$11,765,134.84","354,799"
,2909730,Tyson Foods Inc,TSN,0.02%,Packaged Foods & Meats,US,---,"$11,752,628.85","202,457"
,BF311Y5,Burlington Stores Inc,BURL,0.02%,Apparel Retail,US,---,"$11,745,594.41","46,567"
,6858902,Sumitomo Realty & Development Co Ltd,8830,0.02%,Diversified Real Estate Activities,JP,---,"$11,735,357.33","242,846"
,BLDBN52,Atlas Copco AB,ATCOB,0.02%,Industrial Machinery & Supplies & Components,SE,---,"$11,726,390.99","766,103"
,BJJMGY5,Fox Corp,FOX,0.02%,Broadcasting,US,---,"$11,710,085.22","200,997"
,BHQPSY7,Contemporary Amperex Technology Co Ltd,300750,0.02%,Electrical Components & Equipment,CN,---,"$11,680,458.28","220,382"
,6139340,Titan Co Ltd,TTAN,0.02%,"Apparel, Accessories & Luxury Goods",IN,---,"$11,627,334.68","265,375"
,2040640,Jones Lang LaSalle Inc,JLL,0.02%,Real Estate Services,US,---,"$11,610,848.50","35,650"
,7133608,Equinor ASA,EQNR,0.02%,Integrated Oil & Gas,NO,---,"$11,593,589.96","504,161"
,2181334,Check Point Software Technologies Ltd,CHKP,0.02%,Systems Software,US,---,"$11,565,732.25","61,925"
,BP6D7B7,Toast Inc,TOST,0.02%,Transaction & Payment Processing Services,US,---,"$11,517,140.83","336,857"
,BP6FB33,XPeng Inc,9868,0.02%,Automobile Manufacturers,HK,---,"$11,500,972.18","1,055,328"
,6005214,Accton Technology Corp,2345,0.02%,Communications Equipment,TW,---,"$11,499,376.50","351,000"
,2347608,First Quantum Minerals Ltd,FM,0.02%,Copper,CA,---,"$11,430,722.42","504,544"
,2094670,Best Buy Co Inc,BBY,0.02%,Computer & Electronics Retail,US,---,"$11,422,107.44","144,073"
,BJ2Z0H2,Pinterest Inc,PINS,0.02%,Interactive Media & Services,US,---,"$11,416,712.44","437,087"
,4519579,Kerry Group PLC,KYGA,0.02%,Packaged Foods & Meats,IE,---,"$11,407,086.93","122,880"
,BNBRDD4,Fidelity National Financial Inc,FNF,0.02%,Property & Casualty Insurance,US,---,"$11,397,366.54","191,778"
,BGLP232,Moncler SpA,MONC,0.02%,"Apparel, Accessories & Luxury Goods",IT,---,"$11,390,832.68","168,541"
,2177504,Carpenter Technology Corp,CRS,0.02%,Aerospace & Defense,US,---,"$11,337,475.68","35,592"
,2454241,Imperial Oil Ltd,IMO,0.01%,Integrated Oil & Gas,CA,---,"$11,325,033.99","114,475"
,6444066,Mega Financial Holding Co Ltd,2886,0.01%,Diversified Banks,TW,---,"$11,323,668.64","8,855,973"
,BNGN9Z1,FinecoBank Banca Fineco SpA,FBK,0.01%,Diversified Banks,IT,---,"$11,318,247.88","460,128"
,6563206,MTN Group Ltd,MTN,0.01%,Wireless Telecommunication Services,ZA,---,"$11,239,492.49","1,216,049"
,BMVP7Y0,Royalty Pharma PLC,RPRX,0.01%,Pharmaceuticals,US,---,"$11,234,094.24","280,712"
,2046853,Albemarle Corp,ALB,0.01%,Specialty Chemicals,US,---,"$11,164,581.12","85,888"
,2583952,Metro Inc/CN,MRU,0.01%,Food Retail,CA,---,"$11,138,762.80","154,362"
,BPCPSD6,DSM-Firmenich AG,DSFIR,0.01%,Specialty Chemicals,NL,---,"$11,138,125.70","135,413"
,BYVYD43,Performance Food Group Co,PFGC,0.01%,Food Distributors,US,---,"$11,123,542.51","114,593"
,5810066,ORLEN SA,PKN,0.01%,Oil & Gas Refining & Marketing,PL,---,"$11,099,067.90","431,025"
,5051252,UPM-Kymmene Oyj,UPM,0.01%,Paper Products,FI,---,"$11,098,212.18","406,520"
,4525189,Wartsila OYJ Abp,WRT1V,0.01%,Industrial Machinery & Supplies & Components,FI,---,"$11,070,597.85","341,067"
,B01GZF6,UltraTech Cement Ltd,UTCEM,0.01%,Construction Materials,IN,---,"$11,038,641.86","84,900"
,BPQWCZ3,Tata Steel Ltd,TATA,0.01%,Steel,IN,---,"$11,032,885.39","5,858,144"
,2623911,Neurocrine Biosciences Inc,NBIX,0.01%,Biotechnology,US,---,"$11,025,970.08","72,463"
,B11TCY0,Schindler Holding AG,SCHP,0.01%,Industrial Machinery & Supplies & Components,CH,---,"$11,000,454.34","30,769"
,2729068,Reliance Inc,RS,0.01%,Steel,US,---,"$10,999,900.92","39,381"
,2487407,East West Bancorp Inc,EWBC,0.01%,Regional Banks,US,---,"$10,974,628.50","102,855"
,5962332,STMicroelectronics NV,STMPA,0.01%,Semiconductors,FR,---,"$10,960,339.23","475,779"
,BF4QXG5,Wiwynn Corp,6669,0.01%,"Technology Hardware, Storage & Peripherals",TW,---,"$10,958,214.94","75,000"
,6075745,CIMB Group Holdings Bhd,CIMB,0.01%,Diversified Banks,MY,---,"$10,945,812.86","5,907,752"
,2885937,Textron Inc,TXT,0.01%,Aerospace & Defense,US,---,"$10,930,134.60","131,435"
,BZBY209,ITT Inc,ITT,0.01%,Industrial Machinery & Supplies & Components,US,---,"$10,927,133.60","59,335"
,B012W42,Public Bank Bhd,PBK,0.01%,Diversified Banks,MY,---,"$10,898,384.79","10,347,930"
,BMBPH06,API Group Corp,APG,0.01%,Construction & Engineering,US,---,"$10,897,553.64","275,469"
,B4R2R50,Julius Baer Group Ltd,BAER,0.01%,Asset Management & Custody Banks,CH,---,"$10,881,026.31","152,508"
,6709099,Bank Rakyat Indonesia Persero Tbk PT,BBRI,0.01%,Diversified Banks,ID,---,"$10,870,568.86","49,075,742"
,2755706,Royal Gold Inc,RGLD,0.01%,Gold,US,---,"$10,863,041.28","53,292"
,6658801,Olympus Corp,7733,0.01%,Health Care Equipment,JP,---,"$10,862,368.46","807,900"
,BJN4XN5,Gen Digital Inc,GEN,0.01%,Systems Software,US,---,"$10,857,873.87","411,751"
,BKRTG56,Carlyle Group Inc/The,CG,0.01%,Asset Management & Custody Banks,US,---,"$10,783,034.85","197,745"
,6497509,Kubota Corp,6326,0.01%,Agricultural & Farm Machinery,JP,---,"$10,752,705.09","745,000"
,BG36ZK1,B3 SA - Brasil Bolsa Balcao,B3SA3,0.01%,Financial Exchanges & Data,BR,---,"$10,751,136.18","3,810,621"
,BL6P210,Eternal Ltd,ETERNAL,0.01%,Restaurants,IN,---,"$10,746,861.72","3,189,414"
,B826YT8,WP Carey Inc,WPC,0.01%,Diversified REITs,US,---,"$10,742,146.50","159,450"
,0922320,Smith & Nephew PLC,SN/,0.01%,Health Care Equipment,GB,---,"$10,722,194.68","645,285"
,BD594Y4,Siemens Healthineers AG,SHL,0.01%,Health Care Equipment,DE,---,"$10,711,142.81","215,354"
,BFRT3W7,Allegion plc,ALLE,0.01%,Building Products,US,---,"$10,692,830.09","64,403"
,6433912,E.Sun Financial Holding Co Ltd,2884,0.01%,Diversified Banks,TW,---,"$10,648,297.02","11,005,341"
,BKRMR96,Equitable Holdings Inc,EQH,0.01%,Diversified Financial Services,US,---,"$10,628,324.84","227,636"
,BP6NH40,Grab Holdings Ltd,GRAB,0.01%,Passenger Ground Transportation,US,---,"$10,619,052.50","1,948,450"
,6895448,Tokyo Gas Co Ltd,9531,0.01%,Gas Utilities,JP,---,"$10,606,867.77","261,700"
,B94G471,ICON PLC,ICLR,0.01%,Life Sciences Tools & Services,US,---,"$10,591,065.00","57,249"
,5962309,Chocoladefabriken Lindt & Spruengli AG,LISN,0.01%,Packaged Foods & Meats,CH,---,"$10,577,619.54",71
,B0GLYB5,RBC Bearings Inc,RBC,0.01%,Industrial Machinery & Supplies & Components,US,---,"$10,570,707.32","23,756"
,BFYT7B7,Docusign Inc,DOCU,0.01%,Application Software,US,---,"$10,537,455.10","151,946"
,BN33PL2,Bombardier Inc,BBD/B,0.01%,Aerospace & Defense,CA,---,"$10,509,581.19","63,816"
,BPYTZ57,Boliden AB,BOL,0.01%,Diversified Metals & Mining,SE,---,"$10,473,273.32","218,258"
,6793906,Sekisui House Ltd,1928,0.01%,Homebuilding,JP,---,"$10,472,032.36","467,000"
,B01BN57,Terna - Rete Elettrica Nazionale,TRN,0.01%,Electric Utilities,IT,---,"$10,452,088.92","991,134"
,2491594,Kimco Realty Corp,KIM,0.01%,Retail REITs,US,---,"$10,445,448.08","505,588"
,2445416,JB Hunt Transport Services Inc,JBHT,0.01%,Cargo Ground Transportation,US,---,"$10,428,554.08","59,948"
,2896092,Toll Brothers Inc,TOL,0.01%,Homebuilding,US,---,"$10,425,584.97","74,559"
,2570200,Masco Corp,MAS,0.01%,Building Products,US,---,"$10,425,127.96","160,708"
,B4V9661,Ralph Lauren Corp,RL,0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$10,410,866.86","28,342"
,2066408,Avery Dennison Corp,AVY,0.01%,Paper & Plastic Packaging Products & Materials,US,---,"$10,395,117.59","60,307"
,2756174,RPM International Inc,RPM,0.01%,Specialty Chemicals,US,---,"$10,373,756.25","96,725"
,6496681,Konami Group Corp,9766,0.01%,Interactive Home Entertainment,JP,---,"$10,346,742.56","67,700"
,B1YVKN8,ANTA Sports Products Ltd,2020,0.01%,"Apparel, Accessories & Luxury Goods",HK,---,"$10,321,269.16","942,200"
,6544892,Asia Vital Components Co Ltd,3017,0.01%,"Technology Hardware, Storage & Peripherals",TW,---,"$10,311,888.77","234,234"
,6451271,Israel Discount Bank Ltd,DSCT,0.01%,Diversified Banks,IL,---,"$10,300,503.64","983,580"
,BL6B9P1,Wuxi Biologics Cayman Inc,2269,0.01%,Life Sciences Tools & Services,HK,---,"$10,288,481.52","2,554,740"
,B8C3BL0,Sage Group PLC/The,SGE,0.01%,Application Software,GB,---,"$10,266,410.76","721,066"
,2427599,F5 Inc,FFIV,0.01%,Communications Equipment,US,---,"$10,258,529.04","42,894"
,2073022,Ball Corp,BALL,0.01%,"Metal, Glass & Plastic Containers",US,---,"$10,257,068.64","207,088"
,2176318,Carlisle Cos Inc,CSL,0.01%,Building Products,US,---,"$10,247,579.26","32,218"
,6904612,Tenaga Nasional Bhd,TNB,0.01%,Electric Utilities,MY,---,"$10,247,137.57","3,210,574"
,2526117,ATI Inc,ATI,0.01%,Aerospace & Defense,US,---,"$10,245,715.20","101,644"
,3091357,BT Group PLC,BT/A,0.01%,Integrated Telecommunication Services,GB,---,"$10,239,453.75","4,269,859"
,B082RF1,Rentokil Initial PLC,RTO,0.01%,Environmental & Facilities Services,GB,---,"$10,238,100.86","1,859,751"
,4103596,EDP SA,EDP,0.01%,Electric Utilities,PT,---,"$10,236,011.27","2,292,821"
,6776703,Santos Ltd,STO,0.01%,Oil & Gas Exploration & Production,AU,---,"$10,223,626.45","2,422,294"
,6693233,POSCO Holdings Inc,005490,0.01%,Steel,KR,---,"$10,214,528.38","48,404"
,BLZH0Z7,Scentre Group,SCG,0.01%,Retail REITs,AU,---,"$10,211,760.31","3,819,625"
,6656407,Obayashi Corp,1802,0.01%,Construction & Engineering,JP,---,"$10,208,228.56","500,700"
,BSTJWN0,Alteogen Inc,196170,0.01%,Biotechnology,KR,---,"$10,189,523.68","28,022"
,6791591,Secom Co Ltd,9735,0.01%,Security & Alarm Services,JP,---,"$10,152,416.92","300,374"
,B1VZ431,AECOM,ACM,0.01%,Construction & Engineering,US,---,"$10,110,762.07","98,039"
,2650050,Emera Inc,EMA,0.01%,Electric Utilities,CA,---,"$10,110,477.86","207,047"
,BPMQ7X2,Annaly Capital Management Inc,NLY,0.01%,Mortgage REITs,US,---,"$10,100,422.80","443,001"
,5076705,HENKEL AG & CO KGAA VOR-PREF,HEN3,0.01%,Household Products,DE,---,"$10,092,042.75","125,122"
,BQBBFD1,TKO Group Holdings Inc,TKO,0.01%,Movies & Entertainment,US,---,"$10,021,204.65","51,685"
,2641838,Nordson Corp,NDSN,0.01%,Industrial Machinery & Supplies & Components,US,---,"$10,004,773.02","42,097"
,2204026,Clorox Co/The,CLX,0.01%,Household Products,US,---,"$9,992,977.26","92,579"
,BG087C6,National Bank of Greece SA,ETE,0.01%,Diversified Banks,GR,---,"$9,967,752.66","636,113"
,BLFDXH8,Unity Software Inc,U,0.01%,Application Software,US,---,"$9,960,607.64","234,257"
,B01SD70,Domino's Pizza Inc,DPZ,0.01%,Restaurants,US,---,"$9,951,945.08","23,716"
,2456612,IDEX Corp,IEX,0.01%,Industrial Machinery & Supplies & Components,US,---,"$9,931,924.79","57,103"
,BNBNSG0,Euronext NV,ENX,0.01%,Financial Exchanges & Data,FR,---,"$9,931,089.97","64,809"
,BDFZSP1,Okta Inc,OKTA,0.01%,Internet Services & Infrastructure,US,---,"$9,927,583.05","123,585"
,6097017,CLP Holdings Ltd,2,0.01%,Electric Utilities,HK,---,"$9,927,578.38","1,135,080"
,2556868,Everest Group Ltd,EG,0.01%,Reinsurance,US,---,"$9,911,449.44","31,536"
,6672481,Wistron Corp,3231,0.01%,"Technology Hardware, Storage & Peripherals",TW,---,"$9,907,033.86","2,143,152"
,6506267,Lasertec Corp,6920,0.01%,Semiconductor Materials & Equipment,JP,---,"$9,875,321.23","54,700"
,B00FM53,BANCO BRADESCO SA-PREF,BBDC4,0.01%,Diversified Banks,BR,---,"$9,873,834.95","2,669,962"
,B1324D0,Saudi Basic Industries Corp,SABIC,0.01%,Commodity Chemicals,SA,---,"$9,844,640.10","669,415"
,2969637,Dick's Sporting Goods Inc,DKS,0.01%,Other Specialty Retail,US,---,"$9,843,060.50","47,650"
,BJV2RD9,Dynatrace Inc,DT,0.01%,Application Software,US,---,"$9,819,731.76","220,371"
,2516851,Lincoln Electric Holdings Inc,LECO,0.01%,Industrial Machinery & Supplies & Components,US,---,"$9,813,996.27","40,989"
,2416973,WESCO International Inc,WCC,0.01%,Trading Companies & Distributors,US,---,"$9,782,125.21","36,581"
,BZ0P3W2,TopBuild Corp,BLD,0.01%,Homebuilding,US,---,"$9,780,787.50","21,615"
,2554475,Magna International Inc,MG,0.01%,Automotive Parts & Equipment,CA,---,"$9,770,184.44","200,049"
,BMWGTH9,RB Global Inc,RBA,0.01%,Diversified Support Services,CA,---,"$9,766,348.88","99,352"
,BP484B3,IonQ Inc,IONQ,0.01%,"Technology Hardware, Storage & Peripherals",US,---,"$9,766,231.40","198,098"
,6214861,Origin Energy Ltd,ORG,0.01%,Electric Utilities,AU,---,"$9,764,845.53","1,275,673"
,B233HS6,Power Grid Corp of India Ltd,PWGR,0.01%,Electric Utilities,IN,---,"$9,760,254.79","3,224,780"
,2507457,Akamai Technologies Inc,AKAM,0.01%,Internet Services & Infrastructure,US,---,"$9,730,465.92","108,696"
,BL71K91,Revolution Medicines Inc,RVMD,0.01%,Biotechnology,US,---,"$9,722,410.56","125,031"
,2155306,MasTec Inc,MTZ,0.01%,Construction & Engineering,US,---,"$9,708,868.72","45,394"
,BDCBC61,Medpace Holdings Inc,MEDP,0.01%,Life Sciences Tools & Services,US,---,"$9,694,422.98","16,363"
,6870100,Taisei Corp,1801,0.01%,Construction & Engineering,JP,---,"$9,690,152.96","113,299"
,2159267,CACI International Inc,CACI,0.01%,Research & Consulting Services,US,---,"$9,689,704.20","15,702"
,B5ZN1N8,Segro PLC,SGRO,0.01%,Industrial REITs,GB,---,"$9,686,435.38","1,025,253"
,6804682,Shionogi & Co Ltd,4507,0.01%,Pharmaceuticals,JP,---,"$9,680,109.18","564,400"
,2989356,Zebra Technologies Corp,ZBRA,0.01%,Electronic Equipment & Instruments,US,---,"$9,652,775.25","38,191"
,B0JGGP5,ITC Ltd,ITC,0.01%,Tobacco,IN,---,"$9,652,014.60","2,130,031"
,7251470,Snam SpA,SRG,0.01%,Gas Utilities,IT,---,"$9,647,367.57","1,450,046"
,7332687,Alfa Laval AB,ALFA,0.01%,Industrial Machinery & Supplies & Components,SE,---,"$9,641,914.33","203,849"
,6316121,Elite Material Co Ltd,2383,0.01%,Electronic Components,TW,---,"$9,624,244.34","197,000"
,2267278,Deckers Outdoor Corp,DECK,0.01%,Footwear,US,---,"$9,619,566.28","109,276"
,2380443,Graco Inc,GGG,0.01%,Industrial Machinery & Supplies & Components,US,---,"$9,617,780.16","116,664"
,BYXJF62,Zillow Group Inc,Z,0.01%,Real Estate Services,US,---,"$9,601,565.44","129,088"
,2433842,Unum Group,UNM,0.01%,Life & Health Insurance,US,---,"$9,590,072.95","126,235"
,2305844,Revvity Inc,RVTY,0.01%,Life Sciences Tools & Services,US,---,"$9,587,657.07","91,827"
,BV9B624,Axia Energia,AXIA3,0.01%,Electric Utilities,BR,---,"$9,581,796.23","813,523"
,6356406,Subaru Corp,7270,0.01%,Automobile Manufacturers,JP,---,"$9,572,401.69","428,600"
,6408374,Hang Seng Bank Ltd,11,0.01%,Diversified Banks,HK,---,"$9,566,327.44","488,551"
,6531827,Geely Automobile Holdings Ltd,175,0.01%,Automobile Manufacturers,HK,---,"$9,556,611.69","4,372,200"
,2237561,HEICO Corp,HEI/A,0.01%,Aerospace & Defense,US,---,"$9,551,564.75","38,675"
,BJBLRK3,Healthpeak Properties Inc,DOC,0.01%,Health Care REITs,US,---,"$9,525,529.86","521,661"
,BR1GTS6,Nextpower Inc,NXT,0.01%,Electrical Components & Equipment,US,---,"$9,522,433.08","103,934"
,BL98841,Rivian Automotive Inc,RIVN,0.01%,Automobile Manufacturers,US,---,"$9,521,634.42","564,747"
,2923785,Universal Health Services Inc,UHS,0.01%,Health Care Facilities,US,---,"$9,504,006.30","39,010"
,B3SPXZ3,LyondellBasell Industries NV,LYB,0.01%,Commodity Chemicals,US,---,"$9,486,227.64","193,636"
,6493745,Kirin Holdings Co Ltd,2503,0.01%,Brewers,JP,---,"$9,448,765.52","601,600"
,6051046,Asustek Computer Inc,2357,0.01%,"Technology Hardware, Storage & Peripherals",TW,---,"$9,435,679.84","491,677"
,BQ6BPG9,Bunge Global SA,BG,0.01%,Agricultural Products & Services,US,---,"$9,415,436.42","98,006"
,6651048,Bank Mandiri Persero Tbk PT,BMRI,0.01%,Diversified Banks,ID,---,"$9,411,793.78","32,402,864"
,B0PB4M7,Link REIT,823,0.01%,Retail REITs,HK,---,"$9,407,161.22","1,980,588"
,6643960,Nippon Yusen KK,9101,0.01%,Marine Transportation,JP,---,"$9,403,449.28","296,900"
,BMWS3X9,Viatris Inc,VTRS,0.01%,Pharmaceuticals,US,---,"$9,388,086.28","878,212"
,6180412,Computershare Ltd,CPU,0.01%,Data Processing & Outsourced Services,AU,---,"$9,380,196.64","398,993"
,BDJ0LS6,Ionis Pharmaceuticals Inc,IONS,0.01%,Biotechnology,US,---,"$9,367,600.63","113,231"
,B0G4K50,CF Industries Holdings Inc,CF,0.01%,Fertilizers & Agricultural Chemicals,US,---,"$9,366,401.80","119,014"
,B8P4LP4,Xero Ltd,XRO,0.01%,Application Software,AU,---,"$9,364,427.46","116,696"
,B0GWF48,Hindalco Industries Ltd,HNDL,0.01%,Aluminum,IN,---,"$9,363,957.44","1,031,510"
,2866857,Lundin Mining Corp,LUN,0.01%,Copper,CA,---,"$9,352,211.70","499,589"
,2043274,Omega Healthcare Investors Inc,OHI,0.01%,Health Care REITs,US,---,"$9,352,113.12","203,661"
,B1VQ5C0,Keppel Ltd,KEP,0.01%,Industrial Conglomerates,SG,---,"$9,341,300.90","1,181,113"
,2849234,Stifel Financial Corp,SF,0.01%,Investment Banking & Brokerage,US,---,"$9,331,780.00","76,490"
,6308913,Elbit Systems Ltd,ESLT,0.01%,Aerospace & Defense,IL,---,"$9,319,409.66","19,864"
,BFXC911,Guardant Health Inc,GH,0.01%,Health Care Services,US,---,"$9,293,979.24","85,722"
,6585084,Suncorp Group Ltd,SUN,0.01%,Property & Casualty Insurance,AU,---,"$9,289,918.87","808,524"
,2512149,Kratos Defense & Security Solutions Inc,KTOS,0.01%,Aerospace & Defense,US,---,"$9,278,949.10","121,931"
,2731193,Reinsurance Group of America Inc,RGA,0.01%,Reinsurance,US,---,"$9,274,959.63","48,849"
,BCRWL65,Asian Paints Ltd,APNT,0.01%,Specialty Chemicals,IN,---,"$9,271,496.50","287,769"
,4491235,Kingspan Group PLC,KSP,0.01%,Building Products,IE,---,"$9,252,410.72","107,781"
,BQ7ZV06,Straumann Holding AG,STMN,0.01%,Health Care Equipment,CH,---,"$9,251,551.56","80,941"
,7156036,Sonova Holding AG,SOON,0.01%,Health Care Equipment,CH,---,"$9,242,344.81","37,025"
,BN7L880,DT Midstream Inc,DTM,0.01%,Oil & Gas Storage & Transportation,US,---,"$9,240,433.88","76,078"
,BZ1LFG7,Roku Inc,ROKU,0.01%,Movies & Entertainment,US,---,"$9,200,373.45","95,055"
,7124594,Baloise Holding AG,BALN,0.01%,Multi-line Insurance,CH,---,"$9,187,664.65","35,105"
,2727910,UDR Inc,UDR,0.01%,Multi-Family Residential REITs,US,---,"$9,185,670.30","252,215"
,2943039,Watsco Inc,WSO,0.01%,Trading Companies & Distributors,US,---,"$9,183,756.80","26,512"
,0045614,Antofagasta PLC,ANTO,0.01%,Copper,GB,---,"$9,171,399.73","250,828"
,6340250,Fisher & Paykel Healthcare Corp Ltd,FPH,0.01%,Health Care Equipment,NZ,---,"$9,171,023.96","428,018"
,2563125,Equity LifeStyle Properties Inc,ELS,0.01%,Single-Family Residential REITs,US,---,"$9,159,656.04","145,692"
,BYNJCV6,Samsung Biologics Co Ltd,207940,0.01%,Life Sciences Tools & Services,KR,---,"$9,149,287.08","8,347"
,2567503,Host Hotels & Resorts Inc,HST,0.01%,Hotel & Resort REITs,US,---,"$9,147,960.18","518,886"
,5852842,Accor SA,AC,0.01%,"Hotels, Resorts & Cruise Lines",FR,---,"$9,136,239.32","168,821"
,6291819,China Petroleum & Chemical Corp,386,0.01%,Integrated Oil & Gas,HK,---,"$9,135,754.69","16,099,337"
,B0BV2M7,Builders FirstSource Inc,BLDR,0.01%,Building Products,US,---,"$9,130,134.96","81,352"
,2458771,ITAUSA SA - PREFERRED SHARES,ITSA4,0.01%,Diversified Banks,BR,---,"$9,122,591.21","3,958,945"
,BKDT649,GFL Environmental Inc,GFL,0.01%,Environmental & Facilities Services,CA,---,"$9,105,838.71","200,015"
,2469193,Jack Henry & Associates Inc,JKHY,0.01%,Transaction & Payment Processing Services,US,---,"$9,068,249.04","51,973"
,B44ZV94,China Hongqiao Group Ltd,1378,0.01%,Aluminum,HK,---,"$9,034,130.17","2,266,500"
,6661768,Osaka Gas Co Ltd,9532,0.01%,Gas Utilities,JP,---,"$9,012,685.02","256,800"
,B40SSC9,Huntington Ingalls Industries Inc,HII,0.01%,Aerospace & Defense,US,---,"$8,999,325.90","28,695"
,BYQBFT8,Nutanix Inc,NTNX,0.01%,Application Software,US,---,"$8,995,482.00","188,190"
,6472119,Jardine Matheson Holdings Ltd,JM,0.01%,Industrial Conglomerates,SG,---,"$8,981,859.67","136,762"
,BFZNZF8,BJ's Wholesale Club Holdings Inc,BJ,0.01%,Consumer Staples Merchandise Retail,US,---,"$8,973,147.26","100,562"
,BYYZ7D0,InterGlobe Aviation Ltd,INDIGO,0.01%,Passenger Airlines,IN,---,"$8,969,597.04","135,383"
,BJXMVK2,Tradeweb Markets Inc,TW,0.01%,Financial Exchanges & Data,US,---,"$8,967,560.22","82,377"
,2002554,TD SYNNEX Corp,SNX,0.01%,Technology Distributors,US,---,"$8,959,724.80","58,760"
,BYZWMR9,VAT Group AG,VACN,0.01%,Industrial Machinery & Supplies & Components,CH,---,"$8,941,710.87","20,261"
,2728429,RenaissanceRe Holdings Ltd,RNR,0.01%,Reinsurance,US,---,"$8,930,446.98","34,194"
,BMTQB43,Solventum Corp,SOLV,0.01%,Health Care Supplies,US,---,"$8,923,823.16","104,666"
,B1BHXZ2,Evercore Inc,EVR,0.01%,Investment Banking & Brokerage,US,---,"$8,921,951.25","27,875"
,2726177,Regency Centers Corp,REG,0.01%,Retail REITs,US,---,"$8,916,490.32","125,302"
,6446620,HD Korea Shipbuilding & Offshore Engineering Co Ltd,009540,0.01%,Construction Machinery & Heavy Transportation Equipment,KR,---,"$8,900,477.59","31,863"
,B8FMRX8,Coloplast A/S,COLOB,0.01%,Health Care Supplies,DK,---,"$8,889,161.93","98,438"
,6743882,Japan Exchange Group Inc,8697,0.01%,Financial Exchanges & Data,JP,---,"$8,884,328.63","777,500"
,6087289,Telstra Group Ltd,TLS,0.01%,Integrated Telecommunication Services,AU,---,"$8,878,655.32","2,753,563"
,B28XXH2,Adani Ports & Special Economic Zone Ltd,ADSEZ,0.01%,Marine Ports & Services,IN,---,"$8,873,130.00","521,541"
,6424110,Yuanta Financial Holding Co Ltd,2885,0.01%,Diversified Financial Services,TW,---,"$8,855,164.44","7,689,070"
,2331430,Assurant Inc,AIZ,0.01%,Property & Casualty Insurance,US,---,"$8,852,836.16","38,801"
,6211798,Cochlear Ltd,COH,0.01%,Health Care Equipment,AU,---,"$8,846,083.81","48,404"
,6451680,TS Financial Holding Co Ltd,2887,0.01%,Diversified Banks,TW,---,"$8,841,780.03","15,362,844"
,BGHWH98,Woori Financial Group Inc,316140,0.01%,Diversified Banks,KR,---,"$8,781,579.72","484,750"
,2576941,Exelixis Inc,EXEL,0.01%,Biotechnology,US,---,"$8,761,384.52","198,356"
,6302700,Ebara Corp,6361,0.01%,Industrial Machinery & Supplies & Components,JP,---,"$8,757,904.53","333,900"
,6194037,Kakao Corp,035720,0.01%,Interactive Media & Services,KR,---,"$8,757,751.88","218,679"
,BSPHGN6,Lamar Advertising Co,LAMR,0.01%,Other Specialized REITs,US,---,"$8,757,730.89","66,151"
,6449544,Hyundai Mobis Co Ltd,012330,0.01%,Automotive Parts & Equipment,KR,---,"$8,751,904.33","41,505"
,6195609,Chubu Electric Power Co Inc,9502,0.01%,Electric Utilities,JP,---,"$8,722,422.63","558,070"
,B5M6XQ7,International Consolidated Airlines Group SA,IAG,0.01%,Passenger Airlines,GB,---,"$8,722,147.72","1,661,634"
,B083BH4,Swiss Prime Site AG,SPSN,0.01%,Real Estate Operating Companies,CH,---,"$8,700,130.51","58,999"
,2384951,Great-West Lifeco Inc,GWO,0.01%,Life & Health Insurance,CA,---,"$8,699,356.18","188,042"
,6320605,Tower Semiconductor Ltd,TSEM,0.01%,Semiconductors,IL,---,"$8,692,391.95","81,143"
,BSXN8K7,Samsung C&T Corp,028260,0.01%,Industrial Conglomerates,KR,---,"$8,691,288.02","56,599"
,BYYXJY9,Hydro One Ltd,H,0.01%,Electric Utilities,CA,---,"$8,686,509.06","221,191"
,2945422,WEG SA,WEGE3,0.01%,Electrical Components & Equipment,BR,---,"$8,679,471.08","1,054,866"
,6700393,Uni-President Enterprises Corp,1216,0.01%,Packaged Foods & Meats,TW,---,"$8,674,493.22","3,554,992"
,6640682,NIDEC CORP,6594,0.01%,Electrical Components & Equipment,JP,---,"$8,669,047.09","686,892"
,6271026,Insurance Australia Group Ltd,IAG,0.01%,Property & Casualty Insurance,AU,---,"$8,661,101.03","1,705,080"
,2019479,BXP Inc,BXP,0.01%,Office REITs,US,---,"$8,653,170.60","119,585"
,2599700,Entegris Inc,ENTG,0.01%,Semiconductor Materials & Equipment,US,---,"$8,648,242.54","112,111"
,B72XK05,Ally Financial Inc,ALLY,0.01%,Consumer Finance,US,---,"$8,642,025.00","209,250"
,BRBLFV6,Covestro AG,1CO,0.01%,Specialty Chemicals,DE,---,"$8,611,863.31","119,877"
,6545464,Abu Dhabi Commercial Bank PJSC,ADCB,0.01%,Diversified Banks,AE,---,"$8,611,285.11","2,242,353"
,BYX2YJ7,Encompass Health Corp,EHC,0.01%,Health Care Facilities,US,---,"$8,597,723.16","73,978"
