This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard S&P 500 UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
KLAC;KLA Corp;0.2631%;Information Technology;US;US$209,519,299.21;178,243
TXN;Texas Instruments Inc;0.2595%;Information Technology;US;US$206,642,459.07;1,228,041
BLK;BlackRock Funding Inc/DE;0.2558%;Financials;US;US$203,738,600.10;194,537
BSX;Boston Scientific Corp;0.2553%;Health Care;US;US$203,311,455.78;2,001,491
PFE;Pfizer Inc;0.2483%;Health Care;US;US$197,707,241.16;7,680,934
DHR;Danaher Corp;0.2452%;Health Care;US;US$195,230,819.96;860,882
BA;Boeing Co/The;0.2424%;Industrials;US;US$193,060,287.00;1,021,483
COF;Capital One Financial Corp;0.2377%;Financials;US;US$189,255,011.14;863,902
WELL;Welltower Inc;0.2362%;Real Estate;US;US$188,130,309.74;903,517
UNP;Union Pacific Corp;0.2333%;Industrials;US;US$185,761,901.55;801,285
LOW;Lowe's Cos Inc;0.2305%;Consumer Discretionary;US;US$183,579,910.64;757,093
ADBE;Adobe Inc;0.2304%;Information Technology;US;US$183,438,331.56;573,012
MDT;Medtronic PLC;0.2289%;Health Care;US;US$182,295,368.31;1,730,707
ANET;Arista Networks Inc;0.2285%;Information Technology;US;US$181,936,616.40;1,392,230
ETN;Eaton Corp PLC;0.2284%;Industrials;US;US$181,873,458.57;525,813
PGR;Progressive Corp/The;0.2275%;Financials;US;US$181,185,435.91;791,929
ADI;Analog Devices Inc;0.2233%;Information Technology;US;US$177,854,483.26;670,289
SYK;Stryker Corp;0.2166%;Health Care;US;US$172,502,564.38;464,741
PANW;Palo Alto Networks Inc;0.2154%;Information Technology;US;US$171,549,355.62;902,274
CRWD;Crowdstrike Holdings Inc;0.2153%;Information Technology;US;US$171,422,461.32;336,677
HON;Honeywell International Inc;0.207%;Industrials;US;US$164,847,705.27;857,733
PLD;Prologis Inc;0.2023%;Real Estate;US;US$161,135,747.46;1,253,682
DE;Deere & Co;0.1984%;Industrials;US;US$158,030,181.27;340,223
CEG;Constellation Energy Corp;0.1931%;Utilities;US;US$153,763,563.60;422,010
VRTX;Vertex Pharmaceuticals Inc;0.1886%;Health Care;US;US$150,201,636.78;346,398
COP;ConocoPhillips;0.1879%;Energy;US;US$149,614,974.67;1,686,943
PH;Parker-Hannifin Corp;0.1868%;Industrials;US;US$148,725,111.50;172,595
CB;Chubb Ltd;0.1863%;Financials;US;US$148,357,450.54;500,903
MCK;McKesson Corp;0.1859%;Health Care;US;US$148,052,831.36;168,028
BX;Blackstone Inc;0.1831%;Financials;US;US$145,791,565.36;995,708
ADP;Automatic Data Processing Inc;0.1754%;Industrials;US;US$139,671,311.10;547,087
CVS;CVS Health Corp;0.1729%;Health Care;US;US$137,697,342.16;1,713,506
CME;CME Group Inc;0.172%;Financials;US;US$137,006,565.66;486,771
TMUS;T-Mobile US Inc;0.1716%;Communication Services;US;US$136,632,763.14;653,714
SO;Southern Co/The;0.17%;Utilities;US;US$135,384,000.24;1,485,777
BMY;Bristol-Myers Squibb Co;0.1699%;Health Care;US;US$135,285,043.20;2,749,696
NEM;Newmont Corp;0.169%;Materials;US;US$134,613,742.02;1,483,674
HOOD;Robinhood Markets Inc;0.1687%;Financials;US;US$134,338,093.86;1,045,514
MO;Altria Group Inc;0.1681%;Consumer Staples;US;US$133,904,252.79;2,269,179
SBUX;Starbucks Corp;0.168%;Consumer Discretionary;US;US$133,762,892.93;1,535,563
CMCSA;Comcast Corp;0.1668%;Communication Services;US;US$132,818,648.05;4,976,345
DUK;Duke Energy Corp;0.1635%;Utilities;US;US$130,179,263.54;1,050,341
LMT;Lockheed Martin Corp;0.1596%;Industrials;US;US$127,110,635.34;277,619
TT;Trane Technologies PLC;0.1591%;Industrials;US;US$126,700,681.32;300,609
MMM;3M Co;0.1555%;Industrials;US;US$123,789,802.95;719,499
MMC;Marsh & McLennan Cos Inc;0.153%;Financials;US;US$121,832,447.10;664,118
ICE;Intercontinental Exchange Inc;0.1527%;Financials;US;US$121,603,439.10;773,067
ORLY;O'Reilly Automotive Inc;0.1464%;Consumer Discretionary;US;US$116,561,522.70;1,146,131
GD;General Dynamics Corp;0.1463%;Industrials;US;US$116,517,352.69;341,063
CDNS;Cadence Design Systems Inc;0.1441%;Information Technology;US;US$114,777,077.76;368,064
AMT;American Tower Corp;0.144%;Real Estate;US;US$114,663,969.93;632,559
KKR;KKR & Co Inc;0.1423%;Financials;US;US$113,347,490.13;926,723
HCA;HCA Healthcare Inc;0.1413%;Health Care;US;US$112,481,527.26;221,294
