This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard S&P 500 UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
BR;Broadridge Financial Solutions Inc;0.0454%;Industrials;US;US$36,117,823.41;158,349
BIIB;Biogen Inc;0.0453%;Health Care;US;US$36,096,429.06;198,234
EFX;Equifax Inc;0.0446%;Industrials;US;US$35,550,950.37;167,401
STE;STERIS PLC;0.0445%;Health Care;US;US$35,469,827.40;133,205
CINF;Cincinnati Financial Corp;0.0445%;Financials;US;US$35,438,916.58;211,462
CNP;CenterPoint Energy Inc;0.0443%;Utilities;US;US$35,281,910.22;882,489
AVB;AvalonBay Communities Inc;0.0439%;Real Estate;US;US$34,994,521.54;192,341
HBAN;Huntington Bancshares Inc/OH;0.0435%;Financials;US;US$34,669,790.30;2,126,981
IRM;Iron Mountain Inc;0.0433%;Real Estate;US;US$34,485,426.80;399,368
DOV;Dover Corp;0.0432%;Industrials;US;US$34,381,483.20;185,565
AWK;American Water Works Co Inc;0.0431%;Utilities;US;US$34,319,619.85;263,855
GIS;General Mills Inc;0.043%;Consumer Staples;US;US$34,251,853.60;723,376
VLTO;Veralto Corp;0.0427%;Industrials;US;US$33,980,262.54;335,707
NTRS;Northern Trust Corp;0.0427%;Financials;US;US$33,961,503.18;258,577
PHM;PulteGroup Inc;0.0426%;Consumer Discretionary;US;US$33,953,497.69;266,951
ODFL;Old Dominion Freight Line Inc;0.0425%;Industrials;US;US$33,844,281.69;250,161
ES;Eversource Energy;0.0423%;Utilities;US;US$33,707,833.72;501,754
DXCM;Dexcom Inc;0.0423%;Health Care;US;US$33,693,366.85;530,855
FE;FirstEnergy Corp;0.0421%;Utilities;US;US$33,549,927.76;703,058
LDOS;Leidos Holdings Inc;0.0417%;Industrials;US;US$33,181,075.20;173,632
ULTA;Ulta Beauty Inc;0.0412%;Consumer Discretionary;US;US$32,775,951.24;60,828
DG;Dollar General Corp;0.041%;Consumer Staples;US;US$32,614,552.73;297,877
WAT;Waters Corp;0.0408%;Health Care;US;US$32,530,175.12;80,636
BRO;Brown & Brown Inc;0.04%;Financials;US;US$31,871,754.81;396,267
DVN;Devon Energy Corp;0.04%;Energy;US;US$31,830,982.24;858,904
TDY;Teledyne Technologies Inc;0.0398%;Information Technology;US;US$31,706,532.48;63,474
WRB;W R Berkley Corp;0.0396%;Financials;US;US$31,505,392.63;405,527
STLD;Steel Dynamics Inc;0.0395%;Materials;US;US$31,455,202.09;187,423
CFG;Citizens Financial Group Inc;0.0395%;Financials;US;US$31,456,931.90;581,459
EL;Estee Lauder Cos Inc/The;0.0393%;Consumer Staples;US;US$31,327,473.61;333,023
PODD;Insulet Corp;0.0391%;Health Care;US;US$31,167,137.83;95,257
HUBB;Hubbell Inc;0.039%;Industrials;US;US$31,055,194.26;71,982
HPQ;HP Inc;0.039%;Information Technology;US;US$31,040,652.72;1,271,116
OMC;Omnicom Group Inc;0.0388%;Communication Services;US;US$30,875,167.14;431,097
RF;Regions Financial Corp;0.0386%;Financials;US;US$30,749,682.55;1,208,239
EIX;Edison International;0.0386%;Utilities;US;US$30,699,121.44;521,296
TPR;Tapestry Inc;0.0385%;Consumer Discretionary;US;US$30,665,388.64;280,613
JBL;Jabil Inc;0.0384%;Information Technology;US;US$30,619,955.78;145,318
PPG;PPG Industries Inc;0.0384%;Materials;US;US$30,580,127.16;305,679
TROW;T Rowe Price Group Inc;0.0383%;Financials;US;US$30,472,178.44;297,638
K;Kellanova;0.0382%;Consumer Staples;US;US$30,453,909.48;364,107
CMS;CMS Energy Corp;0.0382%;Utilities;US;US$30,409,788.56;403,099
HAL;Halliburton Co;0.038%;Energy;US;US$30,252,688.44;1,153,802
NTAP;NetApp Inc;0.0379%;Information Technology;US;US$30,211,228.92;270,807
LH;Labcorp Holdings Inc;0.0378%;Health Care;US;US$30,094,759.04;111,968
WSM;Williams-Sonoma Inc;0.0376%;Consumer Discretionary;US;US$29,968,244.81;166,481
KHC;Kraft Heinz Co/The;0.0367%;Consumer Staples;US;US$29,258,898.58;1,146,958
NVR;NVR Inc;0.0367%;Consumer Discretionary;US;US$29,233,387.26;3,894
DLTR;Dollar Tree Inc;0.0364%;Consumer Staples;US;US$28,990,998.68;261,628
EQR;Equity Residential;0.0364%;Real Estate;US;US$28,956,921.50;468,938
VRSN;VeriSign Inc;0.0359%;Information Technology;US;US$28,556,766.75;113,325
DGX;Quest Diagnostics Inc;0.0358%;Health Care;US;US$28,499,967.00;150,650
PTC;PTC Inc;0.0358%;Information Technology;US;US$28,477,025.61;162,327
LVS;Las Vegas Sands Corp;0.0356%;Consumer Discretionary;US;US$28,339,973.76;415,786
DRI;Darden Restaurants Inc;0.0356%;Consumer Discretionary;US;US$28,337,724.00;157,800
CPAY;Corpay Inc;0.0354%;Financials;US;US$28,219,320.00;95,400
IP;International Paper Co;0.0353%;Materials;US;US$28,101,903.48;711,801
CHD;Church & Dwight Co Inc;0.0353%;Consumer Staples;US;US$28,102,800.00;330,000
LYV;Live Nation Entertainment Inc;0.0353%;Communication Services;US;US$28,092,179.50;213,710
SBAC;SBA Communications Corp;0.0353%;Real Estate;US;US$28,086,973.79;144,577
NI;NiSource Inc;0.0352%;Utilities;US;US$28,026,301.05;635,085
CTRA;Coterra Energy Inc;0.0347%;Energy;US;US$27,663,290.16;1,030,674
ON;ON Semiconductor Corp;0.0347%;Information Technology;US;US$27,643,354.24;550,226
TYL;Tyler Technologies Inc;0.0344%;Information Technology;US;US$27,381,194.10;58,305
LULU;Lululemon Athletica Inc;0.034%;Consumer Discretionary;US;US$27,054,384.38;146,891
WST;West Pharmaceutical Services Inc;0.0337%;Health Care;US;US$26,867,465.75;96,907
EXPD;Expeditors International of Washington Inc;0.0337%;Industrials;US;US$26,856,111.10;182,819
AMCR;Amcor PLC;0.0333%;Materials;US;US$26,538,948.00;3,114,900
STZ;Constellation Brands Inc;0.0329%;Consumer Staples;US;US$26,226,146.76;192,302
TRMB;Trimble Inc;0.0328%;Information Technology;US;US$26,094,051.54;320,487
ZBH;Zimmer Biomet Holdings Inc;0.0328%;Health Care;US;US$26,091,183.44;267,547
CDW;CDW Corp/DE;0.0319%;Information Technology;US;US$25,435,648.74;176,367
CHRW;CH Robinson Worldwide Inc;0.0317%;Industrials;US;US$25,270,656.55;159,065
SW;Smurfit WestRock PLC;0.0316%;Materials;US;US$25,122,619.28;703,912
CHTR;Charter Communications Inc;0.0314%;Communication Services;US;US$25,022,404.44;125,037
CNC;Centene Corp;0.0312%;Health Care;US;US$24,812,878.86;630,729
GPN;Global Payments Inc;0.0311%;Financials;US;US$24,748,216.16;326,666
LUV;Southwest Airlines Co;0.031%;Industrials;US;US$24,715,274.05;710,005
L;Loews Corp;0.031%;Financials;US;US$24,692,521.70;228,910
PKG;Packaging Corp of America;0.0309%;Materials;US;US$24,588,190.23;120,489
GPC;Genuine Parts Co;0.0308%;Consumer Discretionary;US;US$24,534,368.80;188,147
FTV;Fortive Corp;0.0307%;Industrials;US;US$24,471,645.80;457,585
ROL;Rollins Inc;0.0306%;Industrials;US;US$24,354,871.64;396,143
EVRG;Evergy Inc;0.0303%;Utilities;US;US$24,163,437.60;311,184
IFF;International Flavors & Fragrances Inc;0.0302%;Materials;US;US$24,081,212.16;346,592
LNT;Alliant Energy Corp;0.0302%;Utilities;US;US$24,043,289.12;346,096
SNA;Snap-on Inc;0.0301%;Industrials;US;US$23,980,326.00;70,520
IT;Gartner Inc;0.03%;Information Technology;US;US$23,913,336.78;102,747
GDDY;GoDaddy Inc;0.03%;Information Technology;US;US$23,855,095.92;186,572
TTD;Trade Desk Inc/The;0.0298%;Communication Services;US;US$23,749,529.52;600,342
PNR;Pentair PLC;0.0293%;Industrials;US;US$23,331,497.52;221,698
PFG;Principal Financial Group Inc;0.0291%;Financials;US;US$23,175,707.88;273,234
KEY;KeyCorp;0.0291%;Financials;US;US$23,161,060.74;1,260,123
INCY;Incyte Corp;0.029%;Health Care;US;US$23,111,252.70;221,245
ESS;Essex Property Trust Inc;0.0288%;Real Estate;US;US$22,966,047.16;87,118
MKC;McCormick & Co Inc/MD;0.0288%;Consumer Staples;US;US$22,963,444.00;340,300
SMCI;Super Micro Computer Inc;0.0288%;Information Technology;US;US$22,906,531.95;676,707
Q;Qnity Electronics Inc;0.0287%;Information Technology;US;US$22,871,272.32;282,048
APTV;Aptiv Holdings Ltd;0.0287%;Consumer Discretionary;US;US$22,852,821.75;294,685
DOW;Dow Inc;0.0286%;Materials;US;US$22,737,874.50;953,370
HOLX;Hologic Inc;0.0284%;Health Care;US;US$22,613,575.95;301,635
TPL;Texas Pacific Land Corp;0.0284%;Energy;US;US$22,608,097.82;26,158
DD;DuPont de Nemours Inc;0.0282%;Materials;US;US$22,455,176.02;564,626
TSN;Tyson Foods Inc;0.028%;Consumer Staples;US;US$22,317,206.40;384,448
J;Jacobs Solutions Inc;0.0274%;Industrials;US;US$21,785,430.81;161,601
WY;Weyerhaeuser Co;0.0273%;Real Estate;US;US$21,732,129.64;978,484
LII;Lennox International Inc;0.027%;Industrials;US;US$21,499,800.39;43,097
MAA;Mid-America Apartment Communities Inc;0.0269%;Real Estate;US;US$21,450,100.61;157,849
INVH;Invitation Homes Inc;0.0269%;Real Estate;US;US$21,437,893.80;760,209
BBY;Best Buy Co Inc;0.0264%;Consumer Discretionary;US;US$21,023,946.08;265,186
COO;Cooper Cos Inc/The;0.0264%;Health Care;US;US$21,003,537.74;269,518
ALB;Albemarle Corp;0.0259%;Materials;US;US$20,612,384.31;158,569
TXT;Textron Inc;0.0252%;Industrials;US;US$20,025,260.64;240,804
GEN;Gen Digital Inc;0.0251%;Information Technology;US;US$20,012,957.73;758,929
RL;Ralph Lauren Corp;0.0241%;Consumer Discretionary;US;US$19,177,197.31;52,207
ALLE;Allegion plc;0.0241%;Industrials;US;US$19,171,318.07;115,469
KIM;Kimco Realty Corp;0.0237%;Real Estate;US;US$18,864,976.56;913,116
FFIV;F5 Inc;0.0233%;Information Technology;US;US$18,540,639.84;77,524
UHS;Universal Health Services Inc;0.0232%;Health Care;US;US$18,453,267.09;75,743
MAS;Masco Corp;0.0231%;Industrials;US;US$18,398,883.49;283,627
FOXA;Fox Corp;0.0231%;Communication Services;US;US$18,364,497.00;280,374
BALL;Ball Corp;0.023%;Materials;US;US$18,312,380.19;369,723
AVY;Avery Dennison Corp;0.0229%;Materials;US;US$18,261,050.17;105,941
BG;Bunge Global SA;0.0228%;Consumer Staples;US;US$18,135,326.04;188,772
TKO;TKO Group Holdings Inc;0.0226%;Communication Services;US;US$18,009,666.54;92,886
JBHT;JB Hunt Transport Services Inc;0.0225%;Industrials;US;US$17,899,266.28;102,893
CLX;Clorox Co/The;0.0224%;Consumer Staples;US;US$17,855,434.80;165,420
DPZ;Domino's Pizza Inc;0.0223%;Consumer Discretionary;US;US$17,785,178.29;42,383
EG;Everest Group Ltd;0.0223%;Financials;US;US$17,728,784.61;56,409
DECK;Deckers Outdoor Corp;0.0222%;Consumer Discretionary;US;US$17,664,627.98;200,666
IEX;IDEX Corp;0.0222%;Industrials;US;US$17,653,895.00;101,500
ZBRA;Zebra Technologies Corp;0.0219%;Information Technology;US;US$17,411,947.50;68,890
AKAM;Akamai Technologies Inc;0.0217%;Information Technology;US;US$17,303,678.88;193,294
NDSN;Nordson Corp;0.0216%;Industrials;US;US$17,176,876.50;72,275
DOC;Healthpeak Properties Inc;0.0216%;Real Estate;US;US$17,160,638.44;939,794
CF;CF Industries Holdings Inc;0.0215%;Materials;US;US$17,156,363.90;217,997
JKHY;Jack Henry & Associates Inc;0.0215%;Financials;US;US$17,099,737.92;98,004
LYB;LyondellBasell Industries NV;0.0213%;Materials;US;US$16,927,857.63;345,537
SOLV;Solventum Corp;0.0212%;Health Care;US;US$16,912,344.12;198,362
VTRS;Viatris Inc;0.0211%;Health Care;US;US$16,830,132.89;1,574,381
BLDR;Builders FirstSource Inc;0.021%;Industrials;US;US$16,736,410.98;149,126
HII;Huntington Ingalls Industries Inc;0.0208%;Industrials;US;US$16,540,632.42;52,741
RVTY;Revvity Inc;0.0206%;Health Care;US;US$16,418,576.91;157,251
REG;Regency Centers Corp;0.0197%;Real Estate;US;US$15,674,057.40;220,265
AIZ;Assurant Inc;0.0196%;Financials;US;US$15,625,081.28;68,483
CPT;Camden Property Trust;0.0194%;Real Estate;US;US$15,411,324.50;144,925
HST;Host Hotels & Resorts Inc;0.0191%;Real Estate;US;US$15,238,455.24;864,348
SWK;Stanley Black & Decker Inc;0.0189%;Industrials;US;US$15,056,175.84;210,517
SJM;J M Smucker Co/The;0.0189%;Consumer Staples;US;US$15,050,467.88;144,466
HAS;Hasbro Inc;0.0187%;Consumer Discretionary;US;US$14,920,781.40;180,639
UDR;UDR Inc;0.0187%;Real Estate;US;US$14,899,385.58;409,099
DAY;Dayforce Inc;0.0187%;Industrials;US;US$14,863,893.70;215,107
GL;Globe Life Inc;0.0186%;Financials;US;US$14,796,183.33;109,821
IVZ;Invesco Ltd;0.0185%;Financials;US;US$14,753,912.40;603,432
WYNN;Wynn Resorts Ltd;0.0185%;Consumer Discretionary;US;US$14,724,337.68;114,426
PNW;Pinnacle West Capital Corp;0.0184%;Utilities;US;US$14,619,919.16;160,906
BXP;BXP Inc;0.018%;Real Estate;US;US$14,361,072.12;198,467
FDS;FactSet Research Systems Inc;0.0179%;Financials;US;US$14,235,319.07;51,341
EPAM;EPAM Systems Inc;0.0178%;Information Technology;US;US$14,155,900.00;75,700
TECH;Bio-Techne Corp;0.0172%;Health Care;US;US$13,667,733.70;211,870
AES;AES Corp/The;0.017%;Utilities;US;US$13,559,590.54;964,409
ALGN;Align Technology Inc;0.0168%;Health Care;US;US$13,366,176.71;90,809
SWKS;Skyworks Solutions Inc;0.0167%;Information Technology;US;US$13,297,960.15;201,637
BAX;Baxter International Inc;0.0164%;Health Care;US;US$13,035,768.88;695,612
NWSA;News Corp;0.0164%;Communication Services;US;US$13,028,157.36;507,327
MRNA;Moderna Inc;0.0152%;Health Care;US;US$12,091,585.62;465,419
GNRC;Generac Holdings Inc;0.0152%;Industrials;US;US$12,081,878.40;79,680
APA;APA Corp;0.0151%;Energy;US;US$12,013,816.10;481,130
FOX;Fox Corp;0.015%;Communication Services;US;US$11,913,296.10;204,485
CRL;Charles River Laboratories International Inc;0.0148%;Health Care;US;US$11,803,556.40;66,260
CAG;Conagra Brands Inc;0.0144%;Consumer Staples;US;US$11,467,839.60;642,456
NCLH;Norwegian Cruise Line Holdings Ltd;0.0142%;Consumer Discretionary;US;US$11,293,071.14;611,759
ARE;Alexandria Real Estate Equities Inc;0.0141%;Real Estate;US;US$11,229,803.46;209,238
LW;Lamb Weston Holdings Inc;0.014%;Consumer Staples;US;US$11,130,979.14;188,469
PAYC;Paycom Software Inc;0.0137%;Industrials;US;US$10,895,897.85;67,605
MTCH;Match Group Inc;0.0137%;Communication Services;US;US$10,884,508.84;326,764
MOH;Molina Healthcare Inc;0.0136%;Health Care;US;US$10,793,921.04;72,804
TAP;Molson Coors Beverage Co;0.0135%;Consumer Staples;US;US$10,716,694.67;230,417
POOL;Pool Corp;0.0135%;Consumer Discretionary;US;US$10,714,502.40;43,984
FRT;Federal Realty Investment Trust;0.0132%;Real Estate;US;US$10,522,347.21;106,577
MOS;Mosaic Co/The;0.0132%;Materials;US;US$10,472,511.76;427,624
HSIC;Henry Schein Inc;0.0131%;Health Care;US;US$10,441,291.40;140,020
LKQ;LKQ Corp;0.0129%;Consumer Discretionary;US;US$10,242,990.62;344,998
SOLS;Solstice Advanced Materials Inc;0.0128%;Materials;US;US$10,190,932.48;213,736
ERIE;Erie Indemnity Co;0.0127%;Financials;US;US$10,093,642.91;34,159
AOS;A O Smith Corp;0.0127%;Industrials;US;US$10,085,306.92;152,854
MGM;MGM Resorts International;0.0123%;Consumer Discretionary;US;US$9,763,931.33;276,677
BEN;Franklin Resources Inc;0.0118%;Financials;US;US$9,385,648.02;415,478
HRL;Hormel Foods Corp;0.0116%;Consumer Staples;US;US$9,201,883.02;396,462
MHK;Mohawk Industries Inc;0.0103%;Consumer Discretionary;US;US$8,172,109.00;70,510
CPB;Campbell's Company/The;0.0102%;Consumer Staples;US;US$8,130,905.76;266,762
BF/B;Brown-Forman Corp;0.0087%;Consumer Staples;US;US$6,942,883.50;239,575
PSKY;Paramount Skydance Corp;0.0084%;Communication Services;US;US$6,706,821.06;418,653
DVA;DaVita Inc;0.0072%;Health Care;US;US$5,755,411.20;48,090
NWS;News Corp;0.0062%;Communication Services;US;US$4,919,960.25;167,175
;;;;;;
"Total allocation percentages shown in the holdings details or the spreadsheet may not equal 100%, due to rounding or omission of cash and/or&nbsp;derivative instruments.
The value of investments, and the income from them, may fall or rise and investors may get back less than they invested.
Weighted equity exposures exclude any temporary cash investments and equity index derivatives.
";;;;;;
