This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard FTSE All-World UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
MC;LVMH Moet Hennessy Louis Vuitton SE;0.1949%;Consumer Discretionary;FR;US$101,383,756.93;137,464
QCOM;QUALCOMM Inc;0.1916%;Technology;US;US$99,703,423.95;593,155
T;AT&T Inc;0.1908%;Telecommunications;US;US$99,265,337.26;3,814,963
SHOP;Shopify Inc;0.1893%;Technology;CA;US$98,470,755.68;614,968
INTC;Intel Corp;0.186%;Technology;US;US$96,769,183.68;2,385,828
NEE;NextEra Energy Inc;0.1852%;Utilities;US;US$96,343,475.32;1,116,508
6758;Sony Group Corp;0.1851%;Consumer Discretionary;JP;US$96,305,142.58;3,284,900
UBER;Uber Technologies Inc;0.1851%;Consumer Discretionary;US;US$96,277,017.24;1,099,806
VZ;Verizon Communications Inc;0.1817%;Telecommunications;US;US$94,511,067.80;2,298,980
8306;Mitsubishi UFJ Financial Group Inc;0.1807%;Financials;JP;US$94,001,671.26;6,052,800
INTU;Intuit Inc;0.1801%;Technology;US;US$93,701,806.08;147,776
APH;Amphenol Corp;0.178%;Technology;US;US$92,580,881.20;657,068
TJX;TJX Cos Inc/The;0.1768%;Consumer Discretionary;US;US$91,957,479.84;605,302
NOW;ServiceNow Inc;0.1755%;Technology;US;US$91,275,075.91;112,351
CBA;Commonwealth Bank of Australia;0.1739%;Financials;AU;US$90,474,017.57;904,595
ALV;Allianz SE;0.1733%;Financials;DE;US$90,163,646.88;208,677
GEV;GE Vernova Inc;0.1712%;Industrials;US;US$89,045,452.82;148,466
BKNG;Booking Holdings Inc;0.1674%;Consumer Discretionary;US;US$87,098,136.18;17,722
SAN;Banco Santander SA;0.1661%;Financials;ES;US$86,427,048.14;8,056,991
BLK;BlackRock Funding Inc/DE;0.1656%;Financials;US;US$86,155,087.20;82,264
SCHW;Charles Schwab Corp/The;0.1651%;Financials;US;US$85,875,398.40;926,080
GILD;Gilead Sciences Inc;0.1639%;Health Care;US;US$85,252,573.12;677,468
ACN;Accenture PLC;0.1634%;Industrials;US;US$85,000,000.00;340,000
NOVOB;Novo Nordisk A/S;0.1631%;Health Care;DK;US$84,843,002.10;1,722,420
KLAC;KLA Corp;0.1624%;Technology;US;US$84,503,362.83;71,889
TXN;Texas Instruments Inc;0.1616%;Technology;US;US$84,052,547.70;499,510
SPGI;S&P Global Inc;0.1598%;Financials;US;US$83,116,551.09;166,623
BSX;Boston Scientific Corp;0.1552%;Health Care;US;US$80,717,093.28;794,616
TD;Toronto-Dominion Bank/The;0.1546%;Financials;CA;US$80,447,602.38;953,234
SU;Schneider Electric SE;0.1534%;Industrials;FR;US$79,783,509.01;297,603
PFE;Pfizer Inc;0.1525%;Health Care;US;US$79,335,750.78;3,082,197
ULVR;Unilever PLC;0.1507%;Consumer Staples;GB;US$78,418,088.44;1,302,453
DHR;Danaher Corp;0.1505%;Health Care;US;US$78,309,855.36;345,312
IBE;Iberdrola SA;0.1496%;Utilities;ES;US$77,846,137.25;3,688,586
APP;AppLovin Corp;0.1485%;Technology;US;US$77,262,780.84;128,883
6501;Hitachi Ltd;0.1475%;Industrials;JP;US$76,734,190.32;2,410,300
WELL;Welltower Inc;0.1462%;Real Estate;US;US$76,061,308.46;365,293
UNP;Union Pacific Corp;0.1452%;Industrials;US;US$75,516,072.37;325,739
AIR;Airbus SE;0.1449%;Industrials;FR;US$75,364,532.40;317,626
COF;Capital One Financial Corp;0.1443%;Industrials;US;US$75,064,335.50;342,650
BA;Boeing Co/The;0.1431%;Industrials;US;US$74,430,468.00;393,812
LOW;Lowe's Cos Inc;0.1424%;Consumer Discretionary;US;US$74,075,215.20;305,490
ADBE;Adobe Inc;0.1421%;Technology;US;US$73,924,739.73;230,921
ETN;Eaton Corp PLC;0.1415%;Industrials;US;US$73,597,782.42;212,778
ANET;Arista Networks Inc;0.1414%;Telecommunications;US;US$73,560,294.72;562,904
MDT;Medtronic PLC;0.141%;Health Care;US;US$73,326,427.47;696,159
BHP;BHP Group Ltd;0.1391%;Basic Materials;AU;US$72,371,809.68;2,648,345
PGR;Progressive Corp/The;0.1388%;Financials;US;US$72,182,558.63;315,497
ADI;Analog Devices Inc;0.1374%;Technology;US;US$71,507,272.62;269,493
HDFCB;HDFC Bank Ltd;0.1352%;Financials;IN;US$70,332,028.90;6,243,573
SYK;Stryker Corp;0.1334%;Health Care;US;US$69,421,053.04;187,028
PANW;Palo Alto Networks Inc;0.1305%;Technology;US;US$67,862,340.38;356,926
CRWD;Crowdstrike Holdings Inc;0.1299%;Technology;US;US$67,557,385.44;132,684
BBVA;Banco Bilbao Vizcaya Argentaria SA;0.129%;Financials;ES;US$67,113,154.35;3,114,934
HON;Honeywell International Inc;0.1289%;Industrials;US;US$67,048,748.73;348,867
TTE;TotalEnergies SE;0.128%;Energy;FR;US$66,608,424.54;1,010,455
UBSG;UBS Group AG;0.1276%;Financials;CH;US$66,381,100.17;1,718,269
RELIANCE;Reliance Industries Ltd;0.126%;Energy;IN;US$65,523,331.28;3,739,010
RR/;Rolls-Royce Holdings PLC;0.1253%;Industrials;GB;US$65,178,146.02;4,605,904
PLD;Prologis Inc;0.1244%;Real Estate;US;US$64,715,497.65;503,505
SAF;Safran SA;0.1239%;Industrials;FR;US$64,428,536.24;191,235
BATS;British American Tobacco PLC;0.1231%;Consumer Staples;GB;US$64,014,134.41;1,092,797
UCG;UniCredit SpA;0.1212%;Financials;IT;US$63,050,214.61;847,681
DE;Deere & Co;0.1193%;Industrials;US;US$62,040,535.83;133,567
ABBN;ABB Ltd;0.1186%;Industrials;CH;US$61,715,148.44;858,527
CEG;Constellation Energy Corp;0.1183%;Utilities;US;US$61,562,994.32;168,962
8316;Sumitomo Mitsui Financial Group Inc;0.1176%;Financials;JP;US$61,171,843.64;2,031,900
