This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard FTSE All-World UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
ALLE;Allegion plc;0.0166%;Industrials;US;US$8,630,405.43;51,981
ACS;ACS Actividades de Construccion y Servicios SA;0.0166%;Industrials;ES;US$8,618,253.96;93,233
TNB;Tenaga Nasional Bhd;0.0165%;Utilities;MY;US$8,607,106.11;2,698,700
WY;Weyerhaeuser Co;0.0165%;Real Estate;US;US$8,588,340.48;386,688
COO;Cooper Cos Inc/The;0.0165%;Health Care;US;US$8,568,403.50;109,950
EQH;Equitable Holdings Inc;0.0165%;Financials;US;US$8,570,649.85;183,565
BBD/B;Bombardier Inc;0.0165%;Industrials;CA;US$8,567,709.61;51,462
STMPA;STMicroelectronics NV;0.0164%;Technology;FR;US$8,541,893.78;372,179
CHKP;Check Point Software Technologies Ltd;0.0163%;Technology;US;US$8,499,715.93;45,509
ETERNAL;Zomato Ltd;0.0163%;Technology;IN;US$8,493,416.29;2,531,539
LISN;Chocoladefabriken Lindt & Spruengli AG;0.0163%;Consumer Staples;CH;US$8,490,192.42;57
9503;Kansai Electric Power Co Inc/The;0.0163%;Utilities;JP;US$8,469,649.47;495,200
BURL;Burlington Stores Inc;0.0162%;Consumer Discretionary;US;US$8,442,390.33;33,471
TRN;Terna - Rete Elettrica Nazionale;0.0162%;Utilities;IT;US$8,421,747.04;798,491
7013;IHI Corp;0.0162%;Industrials;JP;US$8,416,297.66;471,500
11;Hang Seng Bank Ltd;0.0161%;Financials;HK;US$8,380,618.06;428,700
BBY;Best Buy Co Inc;0.0161%;Consumer Discretionary;US;US$8,378,072.56;105,677
7936;Asics Corp;0.0161%;Consumer Discretionary;JP;US$8,369,004.17;349,100
196170;Alteogen Inc;0.0161%;Health Care;KR;US$8,362,589.33;23,074
WRT1V;Wartsila OYJ Abp;0.016%;Industrials;FI;US$8,339,568.32;257,466
CIMB;CIMB Group Holdings Bhd;0.016%;Financials;MY;US$8,322,533.58;4,495,800
FBK;FinecoBank Banca Fineco SpA;0.016%;Financials;IT;US$8,312,795.58;338,667
6669;Wiwynn Corp;0.016%;Technology;TW;US$8,299,824.76;57,000
PINS;Pinterest Inc;0.016%;Technology;US;US$8,299,891.20;317,760
7733;Olympus Corp;0.0159%;Health Care;JP;US$8,290,996.48;616,100
9532;Osaka Gas Co Ltd;0.0159%;Utilities;JP;US$8,283,106.70;235,700
RPRX;Royalty Pharma PLC;0.0159%;Health Care;US;US$8,272,053.96;206,698
2345;Accton Technology Corp;0.0159%;Telecommunications;TW;US$8,262,705.11;253,000
JBHT;JB Hunt Transport Services Inc;0.0159%;Industrials;US;US$8,253,706.16;47,446
TXT;Textron Inc;0.0159%;Industrials;US;US$8,257,289.04;99,294
MTN;MTN Group Ltd;0.0159%;Telecommunications;ZA;US$8,243,552.91;894,296
PKN;ORLEN SA;0.0158%;Energy;PL;US$8,233,691.02;319,246
TOU;Tourmaline Oil Corp;0.0158%;Energy;CA;US$8,228,789.04;178,348
SCHP;Schindler Holding AG;0.0158%;Industrials;CH;US$8,215,931.25;22,986
BALL;Ball Corp;0.0158%;Industrials;US;US$8,201,623.17;165,589
KEP;Keppel Ltd;0.0157%;Utilities;SG;US$8,161,797.48;1,032,300
UTCEM;UltraTech Cement Ltd;0.0157%;Industrials;IN;US$8,155,112.22;62,884
SGE;Sage Group PLC/The;0.0157%;Technology;GB;US$8,146,867.15;572,227
TATA;Tata Steel Ltd;0.0156%;Basic Materials;IN;US$8,119,043.41;4,323,816
IMO;Imperial Oil Ltd;0.0156%;Energy;CA;US$8,115,336.90;80,982
WPC;WP Carey Inc;0.0155%;Real Estate;US;US$8,081,098.87;119,951
2020;ANTA Sports Products Ltd;0.0155%;Consumer Discretionary;HK;US$8,064,760.58;740,000
3017;Asia Vital Components Co Ltd;0.0155%;Technology;TW;US$8,061,175.72;184,000
MAS;Masco Corp;0.0155%;Industrials;US;US$8,035,706.38;123,874
2885;Yuanta Financial Holding Co Ltd;0.0155%;Financials;TW;US$8,037,602.60;6,987,816
DSCT;Israel Discount Bank Ltd;0.0154%;Financials;IL;US$8,016,307.29;767,585
BBRI;Bank Rakyat Indonesia Persero Tbk PT;0.0154%;Financials;ID;US$7,995,234.51;36,184,954
386;China Petroleum & Chemical Corp;0.0153%;Energy;HK;US$7,973,866.37;14,077,400
CEMEXCPO;Cemex SAB de CV;0.0153%;Industrials;MX;US$7,957,862.19;7,527,924
AVY;Avery Dennison Corp;0.0153%;Basic Materials;US;US$7,955,220.24;46,152
SBSP3;Cia de Saneamento Basico do Estado de Sao Paulo SABESP;0.0153%;Utilities;BR;US$7,950,345.67;301,300
OMC;Omnicom Group Inc;0.0152%;Consumer Discretionary;US;US$7,913,437.04;110,492
BAER;Julius Baer Group Ltd;0.0152%;Financials;CH;US$7,904,893.95;110,579
1928;Sekisui House Ltd;0.0152%;Consumer Discretionary;JP;US$7,906,066.00;352,800
BPE;BPER Banca SPA;0.0152%;Financials;IT;US$7,897,787.54;655,608
7270;Subaru Corp;0.0152%;Consumer Discretionary;JP;US$7,894,968.92;351,100
9531;Tokyo Gas Co Ltd;0.0152%;Utilities;JP;US$7,892,175.58;194,500
LISP;Chocoladefabriken Lindt & Spruengli AG;0.0152%;Consumer Staples;CH;US$7,890,304.50;536
EVN;Evolution Mining Ltd;0.0152%;Basic Materials;AU;US$7,882,500.93;1,011,757
MONC;Moncler SpA;0.0152%;Consumer Discretionary;IT;US$7,879,038.02;116,811
SABIC;Saudi Basic Industries Corp;0.0151%;Basic Materials;SA;US$7,872,655.33;535,519
GEN;Gen Digital Inc;0.0151%;Technology;US;US$7,836,926.67;297,191
AXIA3;Axia Energia;0.0151%;Utilities;BR;US$7,828,875.95;669,300
RO;Roche Holding AG;0.015%;Health Care;CH;US$7,794,959.09;19,596
FFIV;F5 Inc;0.015%;Technology;US;US$7,786,571.28;32,558
UPM;UPM-Kymmene Oyj;0.015%;Basic Materials;FI;US$7,784,685.69;285,315
ITC;ITC Ltd;0.015%;Consumer Staples;IN;US$7,777,969.31;1,721,014
BOL;Boliden AB;0.0149%;Basic Materials;SE;US$7,772,056.96;162,249
QIBK;Qatar Islamic Bank QPSC;0.0149%;Financials;QA;US$7,759,471.99;1,215,150
BT/A;BT Group PLC;0.0149%;Telecommunications;GB;US$7,752,371.24;3,233,405
SHL;Siemens Healthineers AG;0.0149%;Health Care;DE;US$7,733,231.12;155,542
ENX;Euronext NV;0.0149%;Financials;FR;US$7,723,100.35;50,300
CG;Carlyle Group Inc/The;0.0148%;Financials;US;US$7,682,840.76;140,892
SN/;Smith & Nephew PLC;0.0148%;Health Care;GB;US$7,680,718.10;462,078
2503;Kirin Holdings Co Ltd;0.0147%;Consumer Staples;JP;US$7,656,869.59;487,000
B3SA3;B3 SA - Brasil Bolsa Balcao;0.0147%;Financials;BR;US$7,656,055.50;2,734,481
XRO;Xero Ltd;0.0147%;Technology;AU;US$7,629,925.70;95,170
DPZ;Domino's Pizza Inc;0.0147%;Consumer Discretionary;US;US$7,624,257.47;18,169
RIVN;Rivian Automotive Inc;0.0146%;Consumer Discretionary;US;US$7,606,001.22;451,127
RTO;Rentokil Initial PLC;0.0146%;Industrials;GB;US$7,581,424.84;1,374,779
CF;CF Industries Holdings Inc;0.0146%;Basic Materials;US;US$7,575,662.00;96,260
KIM;Kimco Realty Corp;0.0145%;Real Estate;US;US$7,545,651.80;365,230
DOCU;DocuSign Inc;0.0145%;Technology;US;US$7,538,483.70;108,702
9766;Konami Group Corp;0.0145%;Consumer Discretionary;JP;US$7,514,783.72;49,200
FPH;Fisher & Paykel Healthcare Corp Ltd;0.0144%;Health Care;NZ;US$7,503,706.87;350,443
HEN3;Henkel AG & Co KGaA;0.0144%;Basic Materials;DE;US$7,497,332.88;92,845
HNDL;Hindalco Industries Ltd;0.0144%;Basic Materials;IN;US$7,478,934.78;827,526
KYGA;Kerry Group PLC;0.0144%;Consumer Staples;IE;US$7,472,889.31;80,539
EG;Everest Group Ltd;0.0143%;Financials;US;US$7,447,101.55;23,695
175;Geely Automobile Holdings Ltd;0.0143%;Consumer Discretionary;HK;US$7,438,230.07;3,418,600
LUN;Lundin Mining Corp;0.0143%;Basic Materials;CA;US$7,436,138.49;397,026
MG;Magna International Inc;0.0143%;Consumer Discretionary;CA;US$7,433,098.42;151,515
GWO;Great-West Lifeco Inc;0.0143%;Financials;CA;US$7,428,785.47;159,841
KSP;Kingspan Group PLC;0.0143%;Industrials;IE;US$7,426,649.70;86,652
ORG;Origin Energy Ltd;0.0142%;Utilities;AU;US$7,373,973.59;962,692
2887;TS Financial Holding Co Ltd;0.0142%;Financials;TW;US$7,365,126.37;12,806,343
2269;Wuxi Biologics Cayman Inc;0.0142%;Health Care;HK;US$7,360,833.60;1,839,169
CPU;Computershare Ltd;0.0141%;Financials;AU;US$7,356,243.21;312,457
1216;Uni-President Enterprises Corp;0.0141%;Consumer Staples;TW;US$7,341,674.65;3,012,006
1113;CK Asset Holdings Ltd;0.0141%;Real Estate;HK;US$7,342,139.97;1,431,938
1801;Taisei Corp;0.0141%;Industrials;JP;US$7,340,147.39;85,800
AC;Accor SA;0.0141%;Consumer Discretionary;FR;US$7,341,810.38;135,696
DECK;Deckers Outdoor Corp;0.0141%;Consumer Discretionary;US;US$7,329,553.86;83,262
EDP;EDP SA;0.0141%;Utilities;PT;US$7,318,041.70;1,639,539
INDIGO;InterGlobe Aviation Ltd;0.0141%;Consumer Discretionary;IN;US$7,321,363.39;110,968
9101;Nippon Yusen KK;0.0141%;Industrials;JP;US$7,317,942.97;230,700
ZBRA;Zebra Technologies Corp;0.014%;Industrials;US;US$7,290,321.00;28,844
SRG;Snam SpA;0.014%;Energy;IT;US$7,262,623.81;1,091,370
9502;Chubu Electric Power Co Inc;0.014%;Utilities;JP;US$7,261,364.95;464,400
3407;Asahi Kasei Corp;0.0139%;Basic Materials;JP;US$7,249,922.46;867,600
EMA;Emera Inc;0.0139%;Utilities;CA;US$7,212,695.07;148,258
;Engie SA;0.0138%;Utilities;FR;US$7,197,264.67;283,178
8697;Japan Exchange Group Inc;0.0138%;Financials;JP;US$7,178,628.32;625,300
3231;Wistron Corp;0.0138%;Technology;TW;US$7,179,852.09;1,559,444
SCG;Scentre Group;0.0138%;Real Estate;AU;US$7,174,594.35;2,681,426
APNT;Asian Paints Ltd;0.0138%;Industrials;IN;US$7,166,887.68;223,024
267260;HD Hyundai Electric Co Ltd;0.0138%;Industrials;KR;US$7,160,575.26;13,588
CLX;Clorox Co/The;0.0138%;Consumer Staples;US;US$7,155,342.60;66,290
BMRI;Bank Mandiri Persero Tbk PT;0.0137%;Financials;ID;US$7,137,466.89;24,611,700
823;Link REIT;0.0137%;Real Estate;HK;US$7,132,899.71;1,505,800
ADSEZ;Adani Ports & Special Economic Zone Ltd;0.0137%;Industrials;IN;US$7,104,428.86;418,929
STO;Santos Ltd;0.0136%;Energy;AU;US$7,058,555.11;1,671,316
028260;Samsung C&T Corp;0.0136%;Industrials;KR;US$7,060,959.44;46,152
OKTA;Okta Inc;0.0135%;Technology;US;US$7,032,811.17;87,549
GRASIM;Grasim Industries Ltd;0.0135%;Industrials;IN;US$7,017,071.98;229,123
JKHY;Jack Henry & Associates Inc;0.0135%;Industrials;US;US$7,007,989.20;40,165
7532;Pan Pacific International Holdings Corp;0.0135%;Consumer Discretionary;JP;US$6,997,797.50;1,153,000
PWGR;Power Grid Corp of India Ltd;0.0135%;Utilities;IN;US$6,999,267.28;2,319,196
G1A;GEA Group AG;0.0135%;Industrials;DE;US$6,999,172.02;103,269
4507;Shionogi & Co Ltd;0.0134%;Health Care;JP;US$6,960,196.09;405,200
ITSA4;Itausa SA;0.0133%;Financials;BR;US$6,935,772.69;3,005,614
BPAC11;Banco BTG Pactual SA;0.0133%;Financials;BR;US$6,929,973.05;685,708
6594;NIDEC CORP;0.0133%;Industrials;JP;US$6,908,622.29;547,532
FOXA;Fox Corp;0.0133%;Consumer Discretionary;US;US$6,901,866.00;105,372
LYB;LyondellBasell Industries NV;0.0133%;Basic Materials;US;US$6,898,624.83;140,817
IEX;IDEX Corp;0.0132%;Industrials;US;US$6,883,279.75;39,575
IAG;Insurance Australia Group Ltd;0.0132%;Financials;AU;US$6,874,679.20;1,350,888
2383;Elite Material Co Ltd;0.0132%;Technology;TW;US$6,851,202.80;141,000
009540;HD Korea Shipbuilding & Offshore Engineering Co Ltd;0.0132%;Industrials;KR;US$6,853,173.77;24,582
ANTO;Antofagasta PLC;0.0132%;Basic Materials;GB;US$6,852,783.14;187,524
IMP;Impala Platinum Holdings Ltd;0.0131%;Basic Materials;ZA;US$6,825,562.17;545,265
PTT/F;PTT PCL;0.0131%;Energy;TH;US$6,817,053.89;7,137,400
ADCB;Abu Dhabi Commercial Bank PJSC;0.0131%;Financials;AE;US$6,814,048.57;1,774,963
;Air Liquide SA;0.0131%;;FR;US$6,802,482.19;35,498
316140;Woori Financial Group Inc;0.0131%;Financials;KR;US$6,799,320.23;376,626
6383;Daifuku Co Ltd;0.013%;Industrials;JP;US$6,785,365.59;214,300
SUN;Suncorp Group Ltd;0.013%;Financials;AU;US$6,778,941.48;588,662
BESI;BE Semiconductor Industries NV;0.013%;Technology;NL;US$6,770,879.19;44,913
012330;Hyundai Mobis Co Ltd;0.013%;Consumer Discretionary;KR;US$6,763,479.41;32,138
CARLB;Carlsberg AS;0.013%;Consumer Staples;DK;US$6,754,883.63;54,366
EPIA;Epiroc AB;0.013%;Industrials;SE;US$6,749,087.33;314,194
035720;Kakao Corp;0.0129%;Technology;KR;US$6,731,909.90;168,659
EMIRATES;Emirates NBD Bank PJSC;0.0128%;Financials;AE;US$6,674,619.22;1,004,708
COH;Cochlear Ltd;0.0128%;Health Care;AU;US$6,670,441.50;36,449
8473;SBI Holdings Inc;0.0128%;Financials;JP;US$6,670,815.76;316,600
SOON;Sonova Holding AG;0.0128%;Health Care;CH;US$6,663,769.85;26,740
UDR;UDR Inc;0.0128%;Real Estate;US;US$6,663,439.62;182,961
SHOP;Shopify Inc;0.0128%;Technology;US;US$6,644,795.04;41,886
6361;Ebara Corp;0.0128%;Industrials;JP;US$6,640,871.52;253,500
ESLT;Elbit Systems Ltd;0.0127%;Industrials;IL;US$6,632,608.92;14,152
ETE;National Bank of Greece SA;0.0127%;Financials;GR;US$6,621,053.69;422,600
207940;Samsung Biologics Co Ltd;0.0127%;Health Care;KR;US$6,603,271.34;6,043
TSEM;Tower Semiconductor Ltd;0.0126%;Technology;IL;US$6,573,496.13;61,995
JSTL;JSW Steel Ltd;0.0126%;Basic Materials;IN;US$6,566,819.99;506,236
2015;Li Auto Inc;0.0126%;Consumer Discretionary;HK;US$6,561,842.59;710,047
TECHM;Tech Mahindra Ltd;0.0126%;Technology;IN;US$6,550,356.15;386,155
2357;Asustek Computer Inc;0.0126%;Technology;TW;US$6,529,902.82;341,000
9633;Nongfu Spring Co Ltd;0.0125%;Consumer Staples;HK;US$6,502,561.14;1,037,000
AGS;Ageas SA/NV;0.0125%;Financials;BE;US$6,496,523.32;95,039
VACN;VAT Group AG;0.0125%;Industrials;CH;US$6,488,352.70;14,742
WEGE3;WEG SA;0.0125%;Industrials;BR;US$6,488,531.40;783,492
FOX;Fox Corp;0.0125%;Consumer Discretionary;US;US$6,476,531.16;111,166
SGRO;Segro PLC;0.0124%;Real Estate;GB;US$6,459,830.93;682,248
HEI;HEICO Corp;0.0124%;Industrials;US;US$6,463,379.45;20,395
8795;T&D Holdings Inc;0.0124%;Financials;JP;US$6,435,937.20;296,000
SCCO;Southern Copper Corp;0.0124%;Basic Materials;US;US$6,431,297.26;47,717
GFL;GFL Environmental Inc;0.0124%;Utilities;CA;US$6,428,601.37;140,953
BLDR;Builders FirstSource Inc;0.0124%;Industrials;US;US$6,430,554.54;57,298
3;Hong Kong & China Gas Co Ltd;0.0124%;Utilities;HK;US$6,424,601.70;6,908,754
BEI;Beiersdorf AG;0.0123%;Consumer Staples;DE;US$6,421,223.14;59,712
1109;China Resources Land Ltd;0.0123%;Real Estate;HK;US$6,398,734.38;1,651,790
EUROB;Eurobank Ergasias Services and Holdings SA;0.0122%;Financials;GR;US$6,345,918.83;1,604,939
URW;Unibail-Rodamco-Westfield;0.0122%;Real Estate;FR;US$6,347,025.84;59,692
ACWA;ACWA Power Co;0.0122%;Utilities;SA;US$6,331,875.67;124,365
373220;LG Energy Solution Ltd;0.0121%;Industrials;KR;US$6,315,101.49;22,763
ALFA;Alfa Laval AB;0.0121%;Industrials;SE;US$6,317,275.03;133,684
4684;Obic Co Ltd;0.0121%;Technology;JP;US$6,317,325.22;196,300
STN;Stantec Inc;0.0121%;Industrials;CA;US$6,310,994.12;65,465
JM;Jardine Matheson Holdings Ltd;0.0121%;Industrials;SG;US$6,304,160.00;96,100
1CO;Covestro AG;0.0121%;Basic Materials;DE;US$6,298,400.49;87,675
6920;Lasertec Corp;0.012%;Technology;JP;US$6,243,998.72;34,700
H;Hydro One Ltd;0.012%;Utilities;CA;US$6,216,104.85;158,304
006400;Samsung SDI Co Ltd;0.0119%;Industrials;KR;US$6,212,591.03;30,506
JHX;James Hardie Industries PLC;0.0119%;Industrials;AU;US$6,201,604.82;311,378
1303;Nan Ya Plastics Corp;0.0119%;Basic Materials;TW;US$6,196,475.70;3,296,210
WCP;Whitecap Resources Inc;0.0119%;Energy;CA;US$6,180,987.40;737,092
AKZA;Akzo Nobel NV;0.0118%;Basic Materials;NL;US$6,160,780.83;94,727
METSO;Metso Oyj;0.0118%;Industrials;FI;US$6,119,402.69;371,851
329180;HD Hyundai Heavy Industries Co Ltd;0.0118%;Industrials;KR;US$6,118,495.22;16,819
COLOB;Coloplast A/S;0.0118%;Health Care;DK;US$6,120,172.67;67,814
SMIN;Smiths Group PLC;0.0117%;Industrials;GB;US$6,104,033.45;188,495
9021;West Japan Railway Co;0.0117%;Industrials;JP;US$6,088,533.16;305,700
JIOFIN;Jio Financial Services Ltd;0.0117%;Financials;IN;US$6,075,294.18;1,774,722
051910;LG Chem Ltd;0.0117%;Industrials;KR;US$6,058,410.91;23,823
STMN;Straumann Holding AG;0.0117%;Health Care;CH;US$6,063,202.44;53,149
ADVANC/F;Advanced Info Service PCL;0.0116%;Telecommunications;TH;US$6,053,225.66;634,800
DPLM;Diploma PLC;0.0116%;Industrials;GB;US$6,027,295.08;83,237
8593;Mitsubishi HC Capital Inc;0.0116%;Financials;JP;US$6,021,220.79;751,990
033780;KT&G Corp;0.0116%;Consumer Staples;KR;US$6,018,959.98;60,837
601318;Ping An Insurance Group Co of China Ltd;0.0115%;Financials;CN;US$6,006,774.97;719,810
IAG;International Consolidated Airlines Group SA;0.0115%;Consumer Discretionary;GB;US$6,010,906.47;1,144,722
2892;First Financial Holding Co Ltd;0.0115%;Financials;TW;US$5,989,907.92;6,811,350
MRO;Melrose Industries PLC;0.0115%;Industrials;GB;US$5,980,092.29;758,534
ARX;ARC Resources Ltd;0.0115%;Energy;CA;US$5,983,705.96;333,530
ADM;Admiral Group PLC;0.0115%;Financials;GB;US$5,964,545.40;141,915
6;Power Assets Holdings Ltd;0.0114%;Utilities;HK;US$5,953,365.83;890,500
2880;Hua Nan Financial Holdings Co Ltd;0.0114%;Financials;TW;US$5,939,198.44;6,329,431
ONGC;Oil & Natural Gas Corp Ltd;0.0114%;Energy;IN;US$5,934,473.28;2,182,215
BEKE;KE Holdings Inc;0.0114%;Real Estate;US;US$5,908,373.76;342,912
IAG;iA Financial Corp Inc;0.0113%;Financials;CA;US$5,868,063.27;49,560
CIPLA;Cipla Ltd/India;0.0113%;Health Care;IN;US$5,863,596.32;342,509
STJ;St James's Place PLC;0.0113%;Financials;GB;US$5,865,473.97;317,787
010140;Samsung Heavy Industries Co Ltd;0.0113%;Industrials;KR;US$5,858,518.48;350,237
EMBJ3;Embraer SA;0.0113%;Industrials;BR;US$5,855,684.23;372,300
SY1;Symrise AG;0.0113%;Basic Materials;DE;US$5,849,941.95;70,558
ATRL;AtkinsRealis Group Inc;0.0112%;Industrials;CA;US$5,842,368.72;93,907
NEST;Nestle India Ltd;0.0112%;Consumer Staples;IN;US$5,838,583.88;414,120
ORSTED;Orsted AS;0.0112%;Utilities;DK;US$5,831,217.19;274,419
;L'Oreal SA;0.0112%;;FR;US$5,819,299.35;13,350
REG;Regency Centers Corp;0.0112%;Real Estate;US;US$5,819,607.12;81,782
BKT;Bankinter SA;0.0112%;Financials;ES;US$5,814,024.51;369,448
9866;NIO Inc;0.0111%;Consumer Discretionary;HK;US$5,786,003.45;1,035,099
8601;Daiwa Securities Group Inc;0.0111%;Financials;JP;US$5,776,929.19;696,400
BG;BAWAG Group AG;0.0111%;Financials;AT;US$5,765,041.78;43,046
SGX;Singapore Exchange Ltd;0.0111%;Financials;SG;US$5,759,073.47;442,400
7259;Aisin Corp;0.0111%;Consumer Discretionary;JP;US$5,752,399.87;322,900
2360;Chroma ATE Inc;0.011%;Industrials;TW;US$5,740,959.06;220,000
ALGN;Align Technology Inc;0.011%;Health Care;US;US$5,735,258.35;38,965
3659;Nexon Co Ltd;0.011%;Consumer Discretionary;JP;US$5,730,756.81;235,400
6504;Fuji Electric Co Ltd;0.011%;Industrials;JP;US$5,723,904.90;82,097
HELN;Helvetia Holding AG;0.011%;Financials;CH;US$5,718,769.04;22,034
S32;South32 Ltd;0.011%;Basic Materials;AU;US$5,704,751.31;2,701,528
2301;Lite-On Technology Corp;0.011%;Technology;TW;US$5,702,732.45;1,125,662
CLAR;CapitaLand Ascendas REIT;0.0109%;Real Estate;SG;US$5,679,152.87;2,617,564
SHFL;Shriram Finance Ltd;0.0109%;Financials;IN;US$5,679,221.80;596,480
6841;Yokogawa Electric Corp;0.0109%;Industrials;JP;US$5,681,379.05;177,600
TLS;Telstra Group Ltd;0.0109%;Telecommunications;AU;US$5,659,211.33;1,753,959
EPIB;Epiroc AB;0.0109%;Industrials;SE;US$5,653,822.48;293,158
HAR;Harmony Gold Mining Co Ltd;0.0109%;Basic Materials;ZA;US$5,644,858.39;289,468
2601;China Pacific Insurance Group Co Ltd;0.0108%;Financials;HK;US$5,628,968.35;1,419,200
WN;George Weston Ltd;0.0108%;Consumer Staples;CA;US$5,621,939.59;81,783
2890;SinoPac Financial Holdings Co Ltd;0.0108%;Financials;TW;US$5,625,563.69;6,551,329
DAL;Delta Air Lines Inc;0.0108%;Consumer Discretionary;US;US$5,608,750.00;87,500
RIBL;Riyad Bank;0.0108%;Financials;SA;US$5,602,818.22;814,678
BALN;Baloise Holding AG;0.0108%;Financials;CH;US$5,604,547.98;21,409
HEIO;Heineken Holding NV;0.0108%;Consumer Staples;NL;US$5,597,971.32;78,368
1378;China Hongqiao Group Ltd;0.0108%;Basic Materials;HK;US$5,598,765.67;1,412,500
EQTL3;Equatorial Energia SA;0.0108%;Utilities;BR;US$5,593,292.62;751,662
FDS;FactSet Research Systems Inc;0.0107%;Financials;US;US$5,584,217.80;20,140
UU/;United Utilities Group PLC;0.0107%;Utilities;GB;US$5,551,262.82;338,693
SGP;Stockland;0.0107%;Real Estate;AU;US$5,542,660.36;1,403,946
OTEX;Open Text Corp;0.0106%;Technology;CA;US$5,536,513.11;164,042
BVI;Bureau Veritas SA;0.0106%;Industrials;FR;US$5,526,047.72;172,646
PSPN;PSP Swiss Property AG;0.0106%;Real Estate;CH;US$5,523,299.83;31,188
PNDORA;Pandora A/S;0.0106%;Consumer Discretionary;DK;US$5,494,422.31;45,969
009150;Samsung Electro-Mechanics Co Ltd;0.0106%;Technology;KR;US$5,491,227.69;32,174
SKFB;SKF AB;0.0105%;Basic Materials;SE;US$5,484,503.83;209,427
EFN;Element Fleet Management Corp;0.0105%;Industrials;CA;US$5,479,450.54;205,174
PHOE;Phoenix Financial Ltd;0.0105%;Financials;IL;US$5,459,883.52;135,896
9697;Capcom Co Ltd;0.0105%;Consumer Discretionary;JP;US$5,455,828.90;222,700
SPSN;Swiss Prime Site AG;0.0105%;Real Estate;CH;US$5,454,881.37;36,962
4523;Eisai Co Ltd;0.0104%;Health Care;JP;US$5,435,183.60;173,200
1339;People's Insurance Co Group of China Ltd/The;0.0104%;Financials;HK;US$5,434,012.79;6,001,000
X;TMX Group Ltd;0.0104%;Financials;CA;US$5,433,262.65;147,646
9104;Mitsui OSK Lines Ltd;0.0104%;Industrials;JP;US$5,419,054.87;190,761
CICT;CapitaLand Integrated Commercial Trust;0.0104%;Real Estate;SG;US$5,406,594.91;2,979,724
TPEIR;Piraeus Financial Holdings SA;0.0103%;Financials;GR;US$5,378,246.70;655,477
VEDL;Vedanta Ltd;0.0103%;Basic Materials;IN;US$5,366,555.47;912,595
EN;Bouygues SA;0.0103%;Industrials;FR;US$5,366,638.20;107,490
ELE;Endesa SA;0.0103%;Utilities;ES;US$5,361,497.61;147,786
ABG;Absa Group Ltd;0.0103%;Financials;ZA;US$5,365,713.56;441,239
9926;Akeso Inc;0.0103%;Health Care;HK;US$5,335,516.85;338,000
MAXHEALT;Max Healthcare Institute Ltd;0.0103%;Health Care;IN;US$5,332,961.74;410,234
GIL;Gildan Activewear Inc;0.0102%;Consumer Discretionary;CA;US$5,304,660.11;92,218
CNA;Centrica PLC;0.0102%;Utilities;GB;US$5,302,864.17;2,333,622
042660;Hanwha Ocean Co Ltd;0.0102%;Industrials;KR;US$5,294,745.45;72,233
KOG;Kongsberg Gruppen ASA;0.0101%;Industrials;NO;US$5,263,496.65;222,055
7453;Ryohin Keikaku Co Ltd;0.0101%;Consumer Discretionary;JP;US$5,260,654.28;264,900
HMCL;Hero MotoCorp Ltd;0.0101%;Consumer Discretionary;IN;US$5,247,194.64;76,014
7202;Isuzu Motors Ltd;0.0101%;Industrials;JP;US$5,236,757.77;344,300
NWSA;News Corp;0.0101%;Consumer Discretionary;US;US$5,226,188.16;203,512
VOLVA;Volvo AB;0.01%;Industrials;SE;US$5,216,657.31;173,614
COAL;Coal India Ltd;0.01%;Energy;IN;US$5,217,314.78;1,240,664
LYC;Lynas Rare Earths Ltd;0.01%;Basic Materials;AU;US$5,209,590.01;548,989
GAPB;Grupo Aeroportuario del Pacifico SAB de CV;0.01%;Industrials;MX;US$5,199,805.99;213,500
EIM;Eicher Motors Ltd;0.01%;Consumer Discretionary;IN;US$5,187,562.51;65,785
6479;MINEBEA MITSUMI Inc;0.01%;Technology;JP;US$5,187,800.70;255,300
CHILE;Banco de Chile;0.01%;Financials;CL;US$5,181,791.46;27,488,945
1658;Postal Savings Bank of China Co Ltd;0.0099%;Financials;HK;US$5,171,791.51;7,321,000
992;Lenovo Group Ltd;0.0099%;Technology;HK;US$5,169,728.73;4,158,000
ADANI;Adani Power Ltd;0.0099%;Utilities;IN;US$5,170,276.60;3,135,591
3665;Bizlink Holding Inc;0.0099%;Technology;TW;US$5,172,314.16;100,828
EVO;Evolution AB;0.0099%;Consumer Discretionary;SE;US$5,156,469.46;75,379
QIA;QIAGEN NV;0.0099%;Health Care;DE;US$5,152,960.00;107,966
ALINMA;Alinma Bank;0.0099%;Financials;SA;US$5,140,338.22;796,190
ICT;International Container Terminal Services Inc;0.0099%;Industrials;PH;US$5,139,897.26;555,630
27;Galaxy Entertainment Group Ltd;0.0099%;Consumer Discretionary;HK;US$5,137,505.14;994,000
1179;H World Group Ltd;0.0099%;Consumer Discretionary;HK;US$5,133,584.62;1,097,420
BAX;Baxter International Inc;0.0099%;Health Care;US;US$5,130,655.94;273,781
2883;KGI Financial Holding Co Ltd;0.0099%;Financials;TW;US$5,124,490.96;10,211,565
3402;Toray Industries Inc;0.0098%;Basic Materials;JP;US$5,113,700.74;786,200
